SUNBLADE GREEK - 500 Common Word Translations
Fantasy Language based on SunbladeGreek name patterns
Linguistic roots: Mix of Homeric Greek (8th-6th c. BC), Classical Attic (5th-4th c. BC),
and Koine (Hellenistic, 4th c. BC - 4th c. AD)
Attested Greek words used throughout; era noted where relevant.

KEY SOURCE WORDS:
  Homeric: ἀνήρ/anēr (man), γυνή/gynē (woman), παῖς/pais (child), γαῖα/gaia (earth),
  ὕδωρ/hydōr (water), πῦρ/pyr (fire), οὐρανός/ouranos (sky), ἠώς/ēōs (dawn),
  ἥλιος/hēlios (sun), σελήνη/selēnē (moon), ἄστρον/astron (star), θάλασσα/thalassa (sea)
  Classical: λόγος/logos (word/reason), πόλις/polis (city), ἀρετή/aretē (virtue),
  νόμος/nomos (law), δῆμος/dēmos (people), φιλία/philia (friendship/love),
  σοφία/sophia (wisdom), ἀλήθεια/alētheia (truth), καλός/kalos (beautiful/good)
  Koine: εἰρήνη/eirēnē (peace), χάρις/charis (grace/joy), ζωή/zōē (life),
  πίστις/pistis (faith/trust), ἀγάπη/agapē (love), κόσμος/kosmos (world/order)

NOTE: Sunblade uses the Romanized phonetic forms throughout for fantasy usability.
Greek's characteristic features preserved: aspirated stops (ph, th, kh),
long/short vowel pairs (a/ā, e/ē, o/ō), the -os/-on/-ē/-is noun endings,
and the characteristic prefix system (a-, ana-, apo-, dia-, epi-, kata-, syn-).
Name list patterns: -polis, -ion, -os, -is, -eia, -aia — all canonical Greek endings.

===================================================================================
RANK | ENGLISH       | SUNBLADE GREEK          | GREEK ROOT / NOTES
219  | lone          | monos                   | Gk. μόνος (lone/alone/only) — attested
220  | written       | graptos                 | Gk. γραπτός (written) — attested
221  | silent        | sigēlos                 | Gk. σιγηλός (silent/quiet) — attested
222  | strange       | atopos                  | Gk. ἄτοπος (strange/out of place) attested

--- NUMBERS ---
83   | two           | dyo                     | Gk. δύο (two) — attested
197  | five          | pente                   | Gk. πέντε (five) — attested
210  | six           | hex                     | Gk. ἕξ (six) — attested
215  | ten           | deka                    | Gk. δέκα (ten) — attested
439  | eight         | oktō                    | Gk. ὀκτώ (eight) — attested
449  | seven         | hepta                   | Gk. ἑπτά (seven) — attested
450  | three         | treis                   | Gk. τρεῖς (three) — attested

--- TIME WORDS ---
54   | time          | khronos                 | Gk. χρόνος (time/duration) — attested
96   | day           | hēmera                  | Gk. ἡμέρα (day — same as above)
188  | year          | etos                    | Gk. ἔτος (year) — attested
193  | hour          | hōra                    | Gk. ὥρα (hour — same as above)
196  | week          | hebdomas                | Gk. ἑβδομάς (week/seven days) — attested
213  | minute        | lepton                  | Gk. λεπτόν (small/minute — also coin) stylized
214  | morning       | prōia                   | Gk. πρωία (morning) — attested
426  | month         | mēn                     | Gk. μήν (month — same as above)

===================================================================================
PHONETIC GUIDE FOR SUNBLADE GREEK
===================================================================================

Ancient Greek sounds (Romanized for fantasy use):
  ph  = voiceless bilabial aspirate (as in "phone" — Gk. φ)
  th  = voiceless dental aspirate (as in "thin" — Gk. θ)
  kh  = voiceless velar aspirate (as in Scots "loch" — Gk. χ)
  rh  = voiceless r (initial rho — Gk. ῥ)
  ps  = affricate (as in "caps" — Gk. ψ)
  ks  = affricate (as in "ax" — Gk. ξ)
  ē   = long e (as in "they" — Gk. η)
  ō   = long o (as in "go" — Gk. ω)
  ai  = diphthong (as in "aisle" — Gk. αι)
  oi  = diphthong (as in "boy" — Gk. οι)
  au  = diphthong (as in "now" — Gk. αυ)
  eu  = diphthong (Gk. ευ — no English equivalent)

Characteristic noun endings from name list:
  -os / -os   = masculine nominative (potamos, topos, logos)
  -ē / -ē     = feminine nominative (hodos, gynē, selēnē)
  -on / -on   = neuter nominative (astron, pedion, ergon)
  -is / -is   = feminine i-stem (polis, pistis, phrasis)
  -eia / -eia = abstract feminine (alētheia, energeia)
  -ia / -ia   = action noun (paidia, ergasia)
  -sis / -sis = process noun (aisthēsis, anapausis)
  -ma / -ma   = result noun (pragma, apotelasma)

Prefix system (all attested):
  a- / an-   = without/not (atopos, asphalēs)
  ana-       = up/back/again (anabainein)
  apo-       = away from (apienai, apodeiknynai)
  dia-       = through/across (dialegein)
  epi-       = upon/at (epimelesthai, epei)
  kata-      = down/against (kata, katanoein)
  meta-      = after/with (meta)
  para-      = beside/beyond (parerkhesthai)
  peri-      = around/about (periékhein)
  pro-       = before/forward (protos)
  syn-/sym-  = together (synantān, syzygia)
  hyper-     = over/above (hyper)
  hypo-      = under/by (hypo)

===================================================================================


241  | power          | kratos                   |
--- PATCH: 169 missing entries added to reach 500 ---
RANK  | ENGLISH        | TRANSLATION              |
------------------------------------------------------------
3     | to             | pros                     |
8     | that           | hoti                     |
10    | it             | auto                     |
11    | for            | dia                      |
19    | at             | epi                      |
20    | this           | touto                    |
22    | his            | autou                    |
27    | say            | legein                   |
28    | her            | autēs                    |
29    | she            | autē                     |
31    | an             | tis                      |
34    | one            | heis                     |
35    | all            | pas                      |
37    | there          | ekei                     |
39    | what           | ti                       |
46    | get            | lambanein                |
48    | go             | ienai                    |
49    | me             | eme                      |
50    | when           | hote                     |
55    | no             | ou                       |
58    | know           | eidenai                  |
61    | into           | eis                      |
62    | year           | etos                     |
64    | good           | agathos                  |
75    | come           | erkhesthai               |
77    | over           | hyper                    |
79    | also           | kai                      |
80    | back           | opisō                    |
81    | after          | meta                     |
82    | use            | khresthai                |
87    | first          | prōtos                   |
88    | well           | eu                       |
94    | any            | tis                      |
102   | need           | khresthai                |
104   | often          | pollakis                 |
106   | high           | hypsēlos                 |
108   | hold           | ekhein                   |
110   | never          | oudepote                 |
112   | north          | boreas                   |
114   | seem           | phainesthai              |
116   | next           | eita                     |
119   | begin          | arkhesthai               |
129   | both           | amphoteroi               |
134   | mile           | stadion                  |
142   | girl           | korē                     |
147   | ever           | aei                      |
152   | talk           | dialegein                |
158   | direct         | euthys                   |
160   | leave          | apienai                  |
162   | measure        | metrein                  |
169   | wind           | anemos                   |
194   | true           | alēthēs                  |
198   | remember       | mimnēskesthai            |
211   | table          | trapeza                  |
223   | pattern        | typos                    |
225   | center         | mesos                    |
227   | person         | anthrōpos                |
230   | appear         | phainesthai              |
231   | road           | hodos                    |
232   | map            | pinax                    |
234   | rule           | arkhein                  |
236   | pull           | helkein                  |
238   | notice         | katanoein                |
244   | drive          | elaunein                 |
245   | lead           | agein                    |
246   | cry            | klaien                   |
249   | note           | sēmeion                  |
256   | field          | pedion                   |
257   | rest           | anapausis                |
258   | correct        | orthos                   |
259   | able           | dynatos                  |
260   | pound          | litra                    |
262   | beauty         | kallos                   |
264   | stood          | histanai                 |
267   | teach          | didaskein                |
269   | final          | teleutaios               |
270   | gave           | edōka                    |
271   | green          | khlōros                  |
272   | oh             | ō                        |
275   | ocean          | thalassa                 |
278   | minute         | lepton                   |
279   | strong         | ischyros                 |
280   | special        | idios                    |
282   | clear          | saphēs                   |
283   | tail           | oura                     |
284   | produce        | apophérein               |
286   | street         | hodos                    |
288   | lot            | polys                    |
289   | nothing        | ouden                    |
291   | stay           | menein                   |
293   | full           | plērēs                   |
295   | blue           | kyanos                   |
296   | object         | pragma                   |
298   | surface        | epiphaneia               |
300   | moon           | selēnē                   |
302   | foot           | pous                     |
304   | busy           | asgholos                 |
307   | boat           | ploion                   |
309   | gold           | khrysos                  |
310   | possible       | dynaton                  |
311   | plane          | pterygion                |
314   | wonder         | thaumazein               |
317   | ago            | palai                    |
321   | shape          | morphē                   |
324   | miss           | leipein                  |
325   | brought        | ēnenka                   |
326   | heat           | thermē                   |
329   | bring          | pherein                  |
330   | yes            | nai                      |
331   | distant        | porrō                    |
333   | east           | apēliōtēs                |
337   | grand          | megas                    |
342   | heart          | kardia                   |
343   | am             | eimi                     |
344   | present        | parōn                    |
346   | dance          | orcheisthai              |
349   | arm            | brakhiōn                 |
350   | wide           | eurys                    |
351   | sail           | plein                    |
354   | vary           | alloioun                 |
355   | settle         | katoikizein              |
357   | weight         | baros                    |
359   | ice            | krystallos               |
362   | pair           | syzygia                  |
364   | divide         | diairein                 |
365   | syllable       | syllabē                  |
369   | sudden         | exaiphnēs                |
370   | count          | arithmein                |
372   | reason         | aitia                    |
373   | length         | mēkos                    |
377   | region         | khōra                    |
378   | energy         | energeia                 |
380   | probable       | eikos                    |
381   | bed            | klinē                    |
383   | egg            | ōion                     |
385   | cell           | kyttaron                 |
389   | sit            | kathizein                |
390   | race           | genos                    |
396   | prove          | apodeiknynai             |
397   | lone           | monos                    |
398   | leg            | skelos                   |
404   | sky            | ouranos                  |
406   | joy            | khara                    |
410   | wild           | agrios                   |
411   | instrument     | organon                  |
420   | past           | parelthōn                |
421   | soft           | malakos                  |
434   | strange        | atopos                   |
440   | meet           | synantān                 |
444   | solve          | lyein                    |
446   | whether        | eite                     |
447   | push           | ōthein                   |
448   | seven          | hepta                    |
458   | result         | apotelasma               |
459   | burn           | kaiein                   |
465   | type           | typos                    |
468   | coast          | aktē                     |
471   | silent         | sigēlos                  |
472   | tall           | hypsēlos                 |
477   | finger         | daktylos                 |
478   | industry       | ergasia                  |
483   | excite         | egeírein                 |
484   | natural        | physikos                 |
485   | view           | theōria                  |
486   | sense          | aisthēsis                |
489   | quite          | pantos                   |
491   | case           | pragma                   |
498   | loud           | megalophōnos             |
499   | spring         | eiar                     |

END OF FILE — SunbladeGreek_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
