KRELN WELSH-POLYNESIAN - 500 Common Word Translations
Fantasy Language based on KrelnWelsh-Polynesian name patterns
Linguistic roots: Old Welsh / Middle Welsh (9th-14th c.) primary
with Samoan (primary Polynesian) and Māori (secondary) flavoring
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Old/Middle Welsh):
  y/yr (the), a/ac (and), nid/ni (not), yn (in/at), o (from/of),
  â/gyda (with), ond (but), os (if), am (about/for), ar (on/upon),
  bod (to be), cael (to have/get), gwneud (to do/make), dweud (to say),
  gweld (to see), mynd (to go), dod (to come), gwybod (to know),
  dyn (man), gwraig (woman), mab (son/boy), merch (girl), pobl (people),
  brenin (king), daear (earth), tân (fire), dŵr (water), awyr (sky),
  dydd (day), mawr (great/big), da (good), gwir (true), llawn (full),
  Old Welsh: map (son), hen (old), du (black), gwyn (white), coch (red),
  llong (ship), caer (fort), môr (sea), nef (heaven), llys (court)

KEY SOURCE WORDS (Samoan):
  le (the), se (a), ma (and), ae (but), i (at/in/to), mai (from),
  o (of/from), fa'a- (like/manner of), tele (big/many), lelei (good),
  maua (have/get), fai (do/say), va'ai (see), alu (go), sau (come),
  iloa (know), alofa (love), tagata (person), ali'i (chief/king),
  vai (water), afi (fire), eleele (earth), lagi (sky), ao (cloud/day)

KEY SOURCE WORDS (Māori):
  te (the), he (a), me (and/with), engari (but), i (at/past marker),
  nō (from/of), kia (to/for), mō (for/about), whakamāui (to turn),
  tangata (person), rangi (sky), whenua (land), awa (river), maunga (mountain),
  wai (water), ahi (fire), ao (cloud/world), rā (sun), marama (moon),
  nui (big), pai (good), tika (correct/straight), māku (wet), māero (wild)

PHONETIC BRIDGE STRATEGY:
  Welsh: ll (voiceless lateral), dd (voiced dental), rh (voiceless r),
         ch (velar fricative), f/ff distinction, mutation system
  Samoan: open CV syllables, glottal stop ('), long vowels, fa'a- prefix
  Māori: wh (f-sound), ng (velar nasal), macron vowels (ā/ē/ī/ō/ū)
  Bridge: Welsh consonant stems + Polynesian vowel-final endings
  Both share: open a/e/i/o vowels, nasal n/m, liquid l/r
  Fantasy suffix system: -ael (noun, fr. Welsh -ael), -anu (verb, fr. Samoan -anu),
  -lwi (adjective, fr. Welsh -lwi), -ora (place/abstract, fr. Polynesian -ora),
  -ddu (dark/intense marker, fr. Welsh du), -mai (motion/from, fr. Samoan mai)

===================================================================================
RANK | ENGLISH       | KRELN                   | ROOT / NOTES
381  | bed           | gwelyddu                | Welsh gwely (bed) + -ddu
382  | brother       | brawd ddu               | Welsh brawd (brother) + -ddu
383  | egg           | wyael                   | Welsh wy (egg) + -ael
384  | ride          | marchoganu              | Welsh marchogaeth (to ride) + -anu
385  | cell          | cellael                 | Welsh cell + -ael
386  | believe       | creduanu                | Welsh credu (to believe) + -anu
387  | fraction      | ffracsiwnddu            | Welsh ffracsiwn (fraction) + -ddu
388  | forest        | coeddoel                | Welsh coed (forest/trees) + -oel
389  | sit           | eisteddanu              | Welsh eistedd (to sit) + -anu
390  | race          | rasael                  | Welsh râs (race) + -ael
391  | window        | ffenestrddu             | Welsh ffenestr (window) + -ddu
392  | store         | siopael                 | Welsh siop (store/shop) + -ael
393  | summer        | hafddu                  | Welsh haf (summer) + -ddu
394  | train         | trênael                 | Welsh trên (train) + -ael
395  | sleep         | cysguanu                | Welsh cysgu (to sleep) + -anu
396  | prove         | profianu                | Welsh profi (to prove) + -anu
397  | lone          | unigddu                 | Welsh unig (lone/only) + -ddu
398  | leg           | coesael                 | Welsh coes (leg) + -ael
399  | exercise      | ymarferael              | Welsh ymarfer (exercise) + -ael
400  | wall          | wallddu                 | Welsh wal (wall) + -ddu
401  | catch         | dalianu                 | Welsh dal (to catch/hold) + -anu
402  | mount         | dringianu               | Welsh dringo (to mount/climb) + -anu
403  | wish          | dymunuanu               | Welsh dymuno (to wish) + -anu
404  | sky           | wybrddu                 | Welsh wybr (sky) + -ddu
405  | board         | bordael                 | Welsh bord (board) + -ael
406  | joy           | llawendyddael           | Welsh llawenydd (joy) + -ael
407  | winter        | gaeafddu                | Welsh gaeaf (winter) + -ddu
408  | sat           | eisteddodd              | Welsh eisteddodd (sat) — attested
409  | written       | ysgrifennwyd            | Welsh ysgrifennwyd (written) — attested
410  | wild          | gwylltddu               | Welsh gwyllt (wild) + -ddu
411  | instrument    | offerynael              | Welsh offeryn (instrument) + -ael
412  | kept          | cadwwyd                 | Welsh cadwwyd (was kept) stylized
413  | glass         | gwydrael                | Welsh gwydr (glass) + -ael
414  | grass         | glaswelltael            | Welsh glaswellt (grass) + -ael
415  | cow           | buchael                 | Welsh buwch (cow) + -ael
416  | job           | swyddddu                | Welsh swydd (job) + -ddu
417  | edge          | ymylddu                 | Welsh ymyl (edge) + -ddu
418  | sign          | arwyddddu               | Welsh arwydd (sign) + -ddu
419  | visit         | ymwelanu                | Welsh ymweld (to visit) + -anu
420  | past          | gorffennolael           | Welsh gorffennol (past) + -ael
421  | soft          | meddaelwi               | Welsh meddal (soft) + -lwi
422  | fun           | hwylddu                 | Welsh hwyl (fun/spirit) + -ddu
423  | bright        | disglairddu             | Welsh disglair (bright) + -ddu
424  | gas           | nwydael                 | Welsh nwy (gas) + -dael
425  | weather       | tywyddael               | Welsh tywydd (weather) + -ael
426  | month         | misael                  | Welsh mis (month) + -ael
427  | million       | miliyonael              | Welsh miliwn (million) + -ael
428  | bear          | arththael               | Welsh arth (bear) + -ael
429  | finish        | gorffenannu             | Welsh gorffen (to finish) + -anu
430  | happy         | hapusael                | Welsh hapus (happy) + -ael
431  | hope          | gobaithddu              | Welsh gobaith (hope) + -ddu
432  | flower        | blodynael               | Welsh blodyn (flower) + -ael
433  | clothe        | gwisganu                | Welsh gwisgo (to clothe) + -anu
434  | strange       | ryfeddddu               | Welsh rhyfedd (strange) + -ddu
435  | gone          | wediael                 | Welsh wedi mynd (gone) stylized
436  | jump          | neidioanu               | Welsh neidio (to jump) + -anu
437  | baby          | babanol                 | Welsh baban (baby) + -ol
438  | eight         | waluora                 | Samoan valu (eight) + -ora
439  | village       | pentrefael              | Welsh pentref (village) + -ael
440  | meet          | cyfarfodanu             | Welsh cyfarfod (to meet) + -anu
441  | root          | gwreiddael              | Welsh gwreiddyn (root) + -ael
442  | buy           | prynu anu               | Welsh prynu (to buy) + -anu
443  | raise         | codianu                 | Welsh codi (to raise) + -anu
444  | solve         | datrysanu               | Welsh datrys (to solve) + -anu
445  | metal         | metalael                | Welsh metel (metal) + -ael
447  | push          | gwthianu                | Welsh gwthio (to push) + -anu
448  | seven         | fituora                 | Samoan fitu (seven) + -ora
449  | paragraph     | paragraaffael           | Welsh paragraff (paragraph) + -ael
450  | third         | tryddydael              | Welsh trydydd (third) + -ael
452  | held          | daliwydfael             | Welsh daliwyd (was held) + -ael
453  | hair          | gwalltddu               | Welsh gwallt (hair) + -ddu
454  | describe      | disgrifioanu            | Welsh disgrifio (to describe) + -anu
455  | cook          | coginianu               | Welsh coginio (to cook) + -anu
456  | floor         | llaworddu               | Welsh llawr (floor) + -ddu
458  | result        | canlyniadael            | Welsh canlyniad (result) + -ael
459  | burn          | llosgianu               | Welsh llosgi (to burn) + -anu
460  | hill          | brynddu                 | Welsh bryn (hill) + -ddu
461  | safe          | diogelddu               | Welsh diogel (safe) + -ddu
462  | cat           | cathael                 | Welsh cath (cat) + -ael
463  | century       | canriFael               | Welsh canrif (century) + -ael
464  | consider      | ystyriedanu             | Welsh ystyried (to consider) + -anu
465  | type          | mathael                 | Welsh math (type/kind) + -ael
466  | law           | cyfraithddu             | Welsh cyfraith (law) + -ddu
467  | bit           | tamaidael               | Welsh tamaid (bit/piece) + -ael
468  | coast         | arfordirael             | Welsh arfordir (coast) + -ael
469  | copy          | copianu                 | Welsh copïo (to copy) + -anu
470  | phrase        | ymadroddael             | Welsh ymadrodd (phrase) + -ael
471  | silent        | distachddu              | Welsh distaw (silent) + ch + -ddu
472  | tall          | talael                  | Welsh tal (tall) + -ael
473  | sand          | tywodael                | Welsh tywod (sand) + -ael
474  | soil          | priflwi                 | Welsh pridd (soil) + f-mut + -lwi
475  | roll          | rholianu                | Welsh rholio (to roll) + -anu
476  | temperature   | tymheredael             | Welsh tymheredd (temperature) + -ael
477  | finger        | bysddu                  | Welsh bys (finger) + -ddu
478  | industry      | diwydiantael            | Welsh diwydiant (industry) + -ael
479  | value         | gwerthddu               | Welsh gwerth (value) + -ddu
480  | fight         | ymladdanu               | Welsh ymladdiad (fight) + -anu
481  | lie           | gorweddanu              | same as lay
482  | beat          | curanu                  | Welsh curo (to beat) + -anu
483  | excite        | cyffrouanu              | Welsh cyffroi (to excite) + -anu
484  | natural       | naturiolael             | Welsh naturiol (natural) + -ael
485  | view          | golwgael                | Welsh golwg (view) + -ael
486  | sense         | synwyrddu               | Welsh synwyr (sense) + -ddu
487  | ear           | clustddu                | Welsh clust (ear) + -ddu
491  | case          | achosddu                | Welsh achos (case/cause) + -ddu
492  | middle        | canolddu                | Welsh canol (middle) + -ddu
493  | kill          | lladdanu                | Welsh lladd (to kill) + -anu
494  | son           | mabael                  | Welsh mab (son) + -ael
495  | lake          | llynael                 | Welsh llyn (lake) + -ael
496  | moment        | eiliadael               | Welsh eiliad (moment/second) + -ael
497  | scale         | graddfaael              | Welsh graddfa (scale) + -ael
498  | loud          | uchelddael              | Welsh uchel (loud/high) + dd + -ael
499  | spring        | gwanwynael              | Welsh gwanwyn (spring) + -ael
500  | observe       | arsylwanuanu            | Welsh arsylwi (to observe) + -anu

===================================================================================
PHONETIC GUIDE FOR KRELN
===================================================================================

Old/Middle Welsh sounds preserved in Kreln:
  ll  = voiceless lateral fricative (unique to Welsh — blow air around sides of tongue)
  dd  = voiced dental fricative (as in English "the")
  rh  = voiceless trill (breathed r — unique to Welsh)
  ch  = voiceless velar fricative (as in Scots "loch")
  f   = v-sound (Welsh f = English v)
  ff  = f-sound (Welsh ff = English f)
  Welsh mutation system: initial consonants change in context
  (b→f, c→g→ngh, d→dd→n, g→ng, ll→l, m→f, p→b→mh, rh→r, t→d→nh)

Samoan sounds adding Polynesian texture:
  '   = glottal stop (fa'a-, ali'i) — marked but softened in Kreln
  Long vowels: ā, ē, ī, ō, ū (written plain in Kreln for fantasy usability)
  All words end in vowels — creates flowing quality after Welsh consonant clusters
  Number words: tasi(1), lua(2), tolu(3), fā(4), lima(5), ono(6), fitu(7), valu(8), iva(9), sefulu(10)

Māori sounds adding secondary texture:
  wh  = f-sound (whetū = star; Māori wh = f in most dialects)
  ng  = velar nasal (as in "sing") — word-initially possible
  Macron vowels (ā/ē/ī/ō/ū) indicate length

Kreln suffix system:
  -ael  = primary noun ending (things/people/concepts)
  -ddu  = intense/dark noun/adj (fr. Welsh du = black — adds weight)
  -anu  = verb infinitive ending (all active verbs)
  -lwi  = adjective/quality ending (fr. Welsh -lwi)
  -ora  = place/natural noun (fr. Polynesian -ora)
  -odd  = collective/territory noun
  -olwi = positive quality marker

Polynesian number words used in Kreln:
  lima (five), ono (six), fitu (seven), valu (eight) — Samoan
  tekau (ten) — Māori
  afe (thousand) — Samoan
  These integrate naturally as their CV syllables complement Welsh stems

===================================================================================
END OF FILE — KrelnWelshPolynesian_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
