VETHANIRUM - 500 Common Word Translations
Fantasy Language based on Vethanirum name patterns
Linguistic roots: Medieval Catalan (Crown of Aragon era, 12th-15th c.)
with light Occitan and Old Italian flavoring
Stylization: Catalan roots processed through a consistent Vethanirum
suffix/affix system — similar approach to SolarirumFrench.

KEY SOURCE WORDS (Medieval Catalan):
  lo/la/els (the), un/una (a), ésser/ser (to be), haver (to have),
  fer (to do/make), dir (to say), veure (to see), anar (to go),
  venir (to come), saber (to know), voler (to want), donar (to give),
  tenir (to hold), sentir (to feel), parlar (to speak), home (man),
  dona (woman), fill (son), infant (child), gent (people), rei (king),
  terra (earth), foc (fire), aigua (water), cel (sky), dia (day),
  nit (night), gran (great), bo/bona (good), ver/vera (true)

STYLIZATION RULES FOR VETHANIRUM:
  Nouns take suffix -eth (thing/place) or -ara (living being/abstract)
  Verbs take suffix -eïr (infinitive) or -ar (action form)
  Adjectives take suffix -el (quality marker) or -orn (state of being)
  Particles/prepositions remain short and close to medieval Catalan roots
  Characteristic sounds: soft -th, -rn, -el, -ara, -eïr, -orn
  Prefix vel- (from name list: Velindre) marks elevated/formal register

===================================================================================
RANK | ENGLISH       | VETHANIRUM              | CATALAN ROOT / NOTES
448  | seven         | seteth                  | Cat. set (seven) + -eth
449  | paragraph     | paragrafeth             | Cat. paràgraf (paragraph) + -eth
450  | third         | terceth                 | Cat. terç (third) + -eth
452  | held          | tingueth                | Cat. tingué (held) + -eth
453  | hair          | cabell eth              | Cat. cabell (hair) + -eth
454  | describe      | descriureth             | Cat. descriure (to describe) + -eth
455  | cook          | cuinareth               | Cat. cuinar (to cook) + -eth
456  | floor         | pavimenteth             | Cat. paviment (floor) + -eth
458  | result        | resultateth             | Cat. resultat (result) + -eth
459  | burn          | cremareth               | Cat. cremar (to burn) + -eth
460  | hill          | turoneth                | Cat. turó (hill) + -eth
461  | safe          | segurel                 | Cat. segur (safe) + -el
462  | cat           | gateth                  | Cat. gat (cat) + -eth
463  | century       | segleth                 | Cat. segle (century) + -eth
464  | consider      | considerareth           | Cat. considerar (to consider) + -eth
465  | type          | tipusel                 | Cat. tipus (type) + -el
466  | law           | lleiïel                 | Cat. llei (law) + -ïel
467  | bit           | boceth                  | Cat. boc (bit/piece) + -eth
468  | coast         | costareth               | Cat. costa (coast) + -eth
469  | copy          | copiareth               | Cat. copiar (to copy) + -eth
470  | phrase        | fraseth                 | Cat. frase (phrase) + -eth
471  | silent        | silenciethel            | Cat. silenci (silent) + -el
472  | tall          | alteth                  | Cat. alt (tall — same as high)
473  | sand          | sorareth                | Cat. sorra (sand) + -eth
474  | soil          | soleth                  | Cat. sòl (soil) + -eth
475  | roll          | rodareth                | Cat. rodar (to roll) + -eth
476  | temperature   | temperatureth           | Cat. temperatura + -eth
477  | finger        | ditel                   | Cat. dit (finger) + -el
478  | industry      | industrieth             | Cat. indústria (industry) + -eth
479  | value         | valoreth                | Cat. valor (value) + -eth
480  | fight         | batallareth             | Cat. batallar (to fight) + -eth
481  | lie           | jaureïr                 | Cat. jaure (to lie — same as lay)
482  | beat          | colpejareïr             | Cat. colpejar (to beat) + -eïr
483  | excite        | excitareth              | Cat. excitar (to excite) + -eth
484  | natural       | naturaleth              | Cat. natural + -eth
485  | view          | visteïl                 | Cat. vista (view) + -eïl
486  | sense         | sentitel                | Cat. sentit (sense) + -el
487  | ear           | orelleth                | Cat. orella (ear) + -eth
491  | case          | caseth                  | Cat. cas (case) + -eth
492  | middle        | mijeth                  | Cat. mig (middle) + -eth
493  | kill          | matareth                | Cat. matar (to kill) + -eth
494  | son           | filleth                 | Cat. fill (son) + -eth
495  | lake          | llageth                 | Cat. llac (lake) + -eth
496  | moment        | momenteth               | Cat. moment + -eth
497  | scale         | escaleth                | Cat. escala (scale) + -eth
498  | loud          | alteth de voth          | Cat. alt de vot (loud voice) stylized
499  | spring        | primavereth             | Cat. primavera (spring) + -eth
500  | observe       | observareth             | Cat. observar (to observe) + -eth

69   | other         | altreïl                 | Cat. altre (other) + -eïl
83   | two           | dosel                   | Cat. dos (two) + -el
120  | got           | hagueth                 | Cat. hagué (got/had) + -eth

===================================================================================
PHONETIC GUIDE FOR VETHANIRUM
===================================================================================

Medieval Catalan sounds preserved in Vethanirum:
  ç   = voiceless alveolar affricate (as in "cats" — Cat. caça, peça)
  ll  = palatal lateral (as in "million" — Cat. lletra, lliure)
  ny  = palatal nasal (as in "canyon" — Cat. senyal, any)
  l·l = geminate lateral (Cat. cel·la)
  ï   = diaeresis — vowels pronounced separately (joïa, naïve)
  Final -th = breathy dental release (Vethanirum innovation)

Stylization rules for Vethanirum:
  -eth    = primary noun/adjective/particle suffix (the "house sound" of Vethanirum)
  -el     = secondary qualifier suffix (softer, often adjectival)
  -eïr    = verb infinitive ending (all verbs)
  -eïl    = feminine/diminutive noun ending
  -orn    = state-of-being pronoun ending
  -od     = temporal/sequential suffix
  -il     = abstract concept ending (centreil, altreïl)

Prefix patterns from the name list:
  vel-    = elevated/formal (from Velindre, Vendres — see name list)
  arn-    = warrior/noble (from Arnaut — Occitan troubadour name)
  gui-    = guide/leader (from Guilhem, Guiraut)
  ber-    = bear/strength (from Bertran, Berenguer)
  rai-    = ray/light (from Raimon, Raimbaut)

Catalan-root phonemes used most frequently:
  Core consonants: r, l, n, m, t, c/k, v, f, s, p, b
  Characteristic endings of source language: -ment, -ció, -ar, -ir, -re
  Vethanirum converts all of these to: -eth, -eïr, -el, -eïl

===================================================================================
END OF FILE — Vethanirum_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
