APISVELDIR BYZANTINE-MUGHAL - 500 Common Word Translations
Fantasy Language based on ApisveldirByzantine-Mughal name patterns
Linguistic roots: Byzantine Greek (medieval, 4th-15th c. AD) + broad Mughal
blend of Classical Persian and Sanskrit roots
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Byzantine Greek):
  ho/hē (the), eis (one/into), kai (and), ou/mē (not), en (in/at),
  ek (from/out), pros (to/toward), meta (with/after), hypo (under/by),
  einai (to be), ekhein (to have), poiein (to do/make), legein (to say),
  horan (to see), erkhesthai (to come), ienai (to go), eidenai (to know),
  anthrōpos (person), gynē (woman), pais (child), basileus (king),
  gē (earth), pyr (fire), hydōr (water), ouranos (sky), hēmera (day),
  megas (great), kalos (beautiful/good), alēthēs (true), kyrios (lord)

KEY SOURCE WORDS (Persian/Sanskrit Mughal):
  Persian: khub (good), bozorg (great), āb (water), ātash (fire), zamīn (earth),
  āsmān (sky), rōz (day), māh (moon), sitāra (star), rang (color/paint),
  dil (heart), dast (hand), sar (head), khāna (house/place), rāh (road/way),
  dānistan (to know), dīdan (to see), guftan (to say), raftan (to go),
  Sanskrit: jala (water), agni (fire), bhumi (earth), akasha (sky), dina (day),
  chandra (moon), tara (star), hridaya (heart), hasta (hand), marga (path),
  jana (person), raja (king), satya (truth), dharma (law/order), deva (divine)

PHONETIC BRIDGE STRATEGY:
  Byzantine Greek: -os/-is/-on endings, kh/th/ph aspirates, long vowels ē/ō
  Persian/Sanskrit: open syllables, kh/sh/zh consonants, -an/-in/-ar endings
  Bridge: Both share kh, r, n, m, s sounds and open vowel sequences
  Fantasy suffix system: -ēl (noun/being, fr. Gk -ēl), -ān (place/abstract, fr. Pers -ān),
  -ir (verb, blend of Gk -eirein + Pers -idan), -akh (adjective, fr. Pers -akh),
  -om (collective, fr. Gk -ōm), -ara (graceful noun, fr. Sanskrit -ara)

===================================================================================
RANK | ENGLISH       | APISVELDIR              | ROOT / NOTES
383  | egg           | ōionēl                  | ByzGk ōion (egg) + -ēl
384  | ride          | elaunisir               | ByzGk elaunein (to ride/drive) + -isir
385  | cell          | kyttaronēl              | ByzGk kyttaron (cell) + -ēl
386  | believe       | pisteisir               | ByzGk pisteuein (to believe) + -isir
387  | fraction      | morionēl                | ByzGk morion (fraction/part) + -ēl
388  | forest        | drymoēl                 | ByzGk drymos (forest/thicket) + -ēl
389  | sit           | kathizisir              | ByzGk kathizein (to sit) + -isir
390  | race          | genosēl                 | ByzGk genos (race/kind) + -ēl
391  | window        | thyrisēl                | ByzGk thyris (window) + -ēl
392  | store         | apothēkēēl              | ByzGk apothēkē (store) + -ēl
393  | summer        | therosēl                | ByzGk theros (summer) + -ēl
394  | train         | seirasēl                | ByzGk seira (chain/train) + -sēl
395  | sleep         | katheudisir             | ByzGk katheudein (to sleep) + -isir
396  | prove         | apodeikisir             | ByzGk apodeiknynai (prove) + -isir
397  | lone          | monosān                 | ByzGk monos (lone/alone) + -ān
398  | leg           | skelosēl                | ByzGk skelos (leg) + -ēl
399  | exercise      | gumnasiaēl              | ByzGk gumnasia (exercise) + -ēl
400  | wall          | teikosēl                | ByzGk teikhos (wall) + -ēl
401  | catch         | krateisir               | ByzGk kratein (to catch/hold) + -isir
402  | mount         | anabainisir             | ByzGk anabainein (to mount) + -isir
403  | wish          | eukheisir               | ByzGk eukheisthai (to wish) + -isir
404  | sky           | ouranoēl                | ByzGk ouranos (sky) + -ēl
405  | board         | sanisēl                 | ByzGk sanis (board/plank) + -ēl
406  | joy           | kharaēl                 | ByzGk khara (joy) + -ēl
407  | winter        | kheimonēl               | ByzGk kheimōn (winter) + -ēl
408  | sat           | ekathisāra              | ByzGk ekathisa (sat) + -āra
409  | written       | graphtonān              | ByzGk grapton (written) + -ān
410  | wild          | agriosān                | ByzGk agrios (wild) + -ān
411  | instrument    | organoēl                | ByzGk organon (instrument) + -ēl
412  | kept          | etērēthēāra             | ByzGk etērēthē (kept) + -āra
413  | glass         | hyalosēl                | ByzGk hyalos (glass) + -ēl
414  | grass         | poaēl                   | ByzGk poa (grass) + -ēl
415  | cow           | bousēl                  | ByzGk bous (cow) + -ēl
416  | job           | ergonēl                 | same as work
417  | edge          | akrēēl                  | ByzGk akrē (edge/tip) + -ēl
418  | sign          | sēmeionēl               | same as mark/note
419  | visit         | episkeptisir            | ByzGk episkeptesthai (visit) + -isir
420  | past          | parelthonān             | ByzGk parelthon (past) + -ān
421  | soft          | malakosān               | ByzGk malakos (soft) + -ān
422  | fun           | paidiaēl                | ByzGk paidia (fun/play) + -ēl
423  | bright        | lamprosān               | ByzGk lampros (bright) + -ān
424  | gas           | pneumaēl                | ByzGk pneuma (gas/breath/spirit) + -ēl
425  | weather       | kairosēl                | ByzGk kairos (weather/time) + -ēl
426  | month         | mēnosēl                 | ByzGk mēn (month) + -osēl
427  | million       | myriadesēl              | ByzGk myriades (millions) + -ēl
428  | bear          | arktosēl                | ByzGk arktos (bear) + -ēl
429  | finish        | teleisir                | ByzGk telein (to finish) + -isir
430  | happy         | makarioān               | ByzGk makarios (happy/blessed) + -ān
431  | hope          | elpidaēl                | ByzGk elpis/elpida (hope) + -ēl
432  | flower        | anthosēl                | ByzGk anthos (flower) + -ēl
433  | clothe        | amphienisir             | ByzGk amphiennynai (to clothe) + -isir
434  | strange       | atopōsān                | ByzGk atopos (strange) + -ān
435  | gone          | oikhomenāra             | ByzGk oikhomenos (gone) + -āra
436  | jump          | hallisir                | ByzGk hallesthai (to jump) + -isir
437  | baby          | brephoēl                | ByzGk brephos (baby) + -ēl
438  | eight         | oktōān                  | ByzGk oktō (eight) + -ān
439  | village       | kōmēēl                  | ByzGk kōmē (village) + -ēl
440  | meet          | synantaisir             | ByzGk synantān (to meet) + -isir
441  | root          | rhizaēl                 | ByzGk rhiza (root) + -ēl
442  | buy           | agorazisir              | ByzGk agorazein (to buy) + -isir
443  | raise         | airisir                 | ByzGk airein (to raise) + -isir
444  | solve         | lyisir                  | ByzGk lyein (to solve) + -isir
445  | metal         | metallonēl              | ByzGk metallon (metal) + -ēl
447  | push          | ōtheisir                | ByzGk ōthein (to push) + -isir
448  | seven         | heptaān                 | ByzGk hepta (seven) + -ān
449  | paragraph     | paragraphosēl           | ByzGk paragraphos (paragraph) + -ēl
450  | third         | tritonān                | ByzGk triton (third) + -ān
452  | held          | ekratesāra              | ByzGk ekratese (held) + -āra
453  | hair          | thrixēl                 | ByzGk thrix (hair) + -ēl
454  | describe      | graphisir               | same as paint/write
455  | cook          | hepsisir                | ByzGk hepsein (to cook) + -isir
456  | floor         | edaphosēl               | ByzGk edaphos (floor) + -ēl
458  | result        | apotelasmaēl            | ByzGk apotelasma (result) + -ēl
459  | burn          | kaiesir                 | ByzGk kaiein (to burn) + -isir
460  | hill          | lophoēl                 | ByzGk lophos (hill) + -ēl
461  | safe          | asphalosān              | ByzGk asphalos (safe) + -ān
462  | cat           | ailourōēl               | ByzGk ailouros (cat) + -ēl
463  | century       | aiōnēl                  | ByzGk aiōn (age/century) + -ēl
464  | consider      | ennoisisir              | ByzGk ennoein (to consider) + -isir
465  | type          | typosēl                 | same as pattern
466  | law           | nomosēl                 | same as rule
467  | bit           | mikroān                 | ByzGk mikron (bit/small) + -ān
468  | coast         | aktēēl                  | ByzGk aktē (coast) + -ēl
469  | copy          | apographisir            | ByzGk apographein (to copy) + -isir
470  | phrase        | phrasinēl               | ByzGk phrasis (phrase) + -ēl
471  | silent        | sigēlosān               | ByzGk sigēlos (silent) + -ān
472  | tall          | hypsēlosān              | same as high
473  | sand          | ammosēl                 | ByzGk ammos (sand) + -ēl
474  | soil          | gēēl                    | same as ground
475  | roll          | kylindisir              | ByzGk kylindein (to roll) + -isir
476  | temperature   | thermokrasiaēl          | ByzGk thermokrasia (temperature) + -ēl
477  | finger        | daktylosēl              | ByzGk daktylos (finger) + -ēl
478  | industry      | ergasiaēl               | ByzGk ergasia (industry) + -ēl
479  | value         | axiaēl                  | ByzGk axia (value/worth) + -ēl
480  | fight         | makhisir                | ByzGk makhesthai (to fight) + -isir
481  | lie           | klinisir                | same as lay
482  | beat          | typisir                 | ByzGk typtein (to beat) + -isir
483  | excite        | egeirisir               | ByzGk egeirein (to excite/rouse) + -isir
484  | natural       | physikosān              | ByzGk physikos (natural) + -ān
485  | view          | theōriaēl               | ByzGk theōria (view/theory) + -ēl
486  | sense         | aisthēsinēl             | ByzGk aisthēsis (sense) + -ēl
487  | ear           | ousēl                   | ByzGk ous (ear) + -ēl
491  | case          | pragmaēl                | same as fact/matter
492  | middle        | mesosēl                 | ByzGk mesos (middle) + -ēl
493  | kill          | kteinis ir              | ByzGk kteinein (to kill) + -isir
494  | son           | hyiosēl                 | ByzGk hyios (son) + -ēl
495  | lake          | limnēēl                 | ByzGk limnē (lake) + -ēl
496  | moment        | stigmēēl                | ByzGk stigmē (moment/point) + -ēl
497  | scale         | kanonēl                 | ByzGk kanōn (scale/rule) + -ēl
498  | loud          | megalophōnosān          | ByzGk megalophōnos (loud) + -ān
499  | spring        | earinēl                 | ByzGk eiar (spring) + -inēl
500  | observe       | theorisir               | ByzGk theōrein (to observe) + -isir

===================================================================================
PHONETIC GUIDE FOR APISVELDIR
===================================================================================

Byzantine Greek sounds preserved:
  ē   = long e (as in "they") — very common in Apisveldir
  ō   = long o (as in "go")
  kh  = voiceless velar fricative (as in Scots "loch")
  ph  = labiodental fricative (as in "f" — Byzantine shift from aspirate)
  th  = dental fricative (as in "thin")
  Final -ēl and -ān are the two most characteristic sounds of Apisveldir

Persian/Sanskrit Mughal sounds adding texture:
  ā   = long open a (Persian characteristic)
  āra = flowing feminine/graceful suffix (Sanskrit -āra)
  ān  = Persian place/collective suffix (Khurāsān, Gulbadān)
  dil = heart (Persian — used in love compounds)
  atash = fire (Persian — replaces Gk pyr in fire contexts)
  sitāra = star (Sanskrit/Persian — replaces Gk astron)

Apisveldir suffix system:
  -ēl   = primary noun ending (concrete/living things)
  -ān   = particle/adjective ending (abstract/qualities)
  -āra  = graceful noun (elegant/flowing things, past forms)
  -isir = primary verb ending (active actions)
  -ir   = secondary verb (states/being)
  -irān = verbal adjective (appearing/seeming)
  -aēl  = compound noun (two-root words)
  -nēl  = emphatic noun (significant/named things)

Note on Mughal integration:
  Persian/Sanskrit roots appear where they offer phonetic richness
  not available in Byzantine Greek: atash (fire), dil (heart),
  sitāra (star), khub (good), haylu (power), ān (place suffix).
  These are woven in at roughly 15-20% of vocabulary, concentrated
  in emotional/celestial/power words — fitting the gem-and-court
  aesthetic of the name list (Chrysoberyl, Tanzanite, Corundum, etc.)

===================================================================================
END OF FILE — ApisveldirByzantineMughal_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
