NORDAL RUSSIAN - 500 Common Word Translations
Fantasy Language based on NordalRussian name patterns
Linguistic roots: Old Church Slavonic (primary base) + Medieval Russian,
layered with Polish (heaviest), Czech/Bohemian, Lithuanian/Baltic,
Hungarian vowel harmony, Wallachian/Moldavian, Rus Principalities, Serbian/Bulgarian.

KEY SOURCE WORDS:
  OCS: językŭ (language), zemlja (earth), voda (water), ogňŭ (fire), nebо (sky),
  světŭ (light/world), slovo (word), imę (name), věra (faith/truth), vladŭ (rule/power),
  bratŭ (brother), mati (mother), sŭnŭ (son), ljudije (people), knędzĭ (prince/lord),
  věšti (thing), choditi (to go), věděti (to know), dati (to give), byti (to be),
  Polish: pan (lord/sir), ziemia (earth), woda (water), ogień (fire), niebo (sky),
  Czech: zem (earth), voda, oheň, nebe, slovo — mirroring OCS closely,
  Lithuanian: žemė (earth), vanduo (water), ugnis (fire), dangus (sky),
  Hungarian: föld (earth), víz (water), tűz (fire), ég (sky), ember (person),
  vár (fortress/castle), úr (lord), király (king)

NOTE: Nordal blends OCS's formal ecclesiastical register with the hard consonant
stacks of Polish (sz, cz, rz, szcz), Czech softness (ř, č, ž), Lithuanian flow
(-as, -is endings), and Hungarian vowel harmony (-vár, -ság, -ár suffixes).
The result is a language that feels weighty, dynastic, and fortress-edged.

===================================================================================
RANK | ENGLISH       | NORDAL RUSSIAN          | ROOT / NOTES
213  | minute        | malŭ godŭ               | OCS (small time — same as minute)
214  | morning       | jutro                   | OCS jutro (morning — same as above)
426  | month         | měsęcĭ                  | OCS měsęcĭ (month — same as moon)

===================================================================================
PHONETIC GUIDE FOR NORDAL RUSSIAN
===================================================================================

Old Church Slavonic sounds:
  ŭ   = ultra-short back vowel (reduced, often silent in modern descendants)
  ĭ   = ultra-short front vowel (reduced)
  ę   = nasal front vowel (as in French "vin" — Polish preserved this as ę)
  ą   = nasal back vowel (as in French "on" — Polish preserves as ą)
  ě   = front vowel between e and ie (yat — disappeared in most modern Slavic)
  š   = voiceless palatal fricative (sh)
  ž   = voiced palatal fricative (zh)
  č   = palatal affricate (ch)
  št  = Bulgarian/OCS cluster (šč in Russian)
  žd  = Bulgarian/OCS cluster (zd in Russian)

Polish consonant stacks preserved in Nordal:
  sz  = š (heavy sh)
  cz  = č (heavy ch)
  rz  = ž (heavy zh, once a trill)
  szcz = šč (the infamous Polish cluster)
  dź  = soft dz
  ń   = soft n

Lithuanian softness:
  -as / -is endings on nouns (Gediminas, Vytautas, Kernavė)
  flow of liquid consonants -l-, -r- within words

Hungarian vowel harmony flavoring:
  -vár suffix = fortress/castle (Visegrád, Esztergom)
  -ság suffix = abstract noun quality
  Front vowels group: e, é, i, ö, ő, ü, ű
  Back vowels group: a, á, o, ó, u, ú

Word-building patterns:
  OCS prě-  = over/trans- (prěchodŭ, prěstorŭ)
  OCS sŭ-   = together/with- (sŭtvoriti, sŭrdĭce)
  OCS vŭ-   = in/into- (vŭstokŭ, vzęti)
  OCS po-   = after/along- (poslidĭnŭ, pokoi)
  OCS na-   = on/upon/at- (načęti, namŭ)
  OCS ot-   = from/away- (otiti, opisati)
  -ĭstvo    = abstract noun (хudožĭstvo, dělanĭje)
  -ĭnŭ      = adjectival suffix (věrĭnŭ, krasnŭ)

===================================================================================


241  | power          | властĭ                   |
--- PATCH: 169 missing entries added to reach 500 ---
RANK  | ENGLISH        | TRANSLATION              |
------------------------------------------------------------
3     | to             | kŭ                       |
8     | that           | to                       |
10    | it             | to                       |
11    | for            | za                       |
19    | at             | prĭ                      |
20    | this           | sije                     |
22    | his            | jego                     |
27    | say            | rešti                    |
28    | her            | jeje                     |
29    | she            | ona                      |
31    | an             | jedŭ                     |
34    | one            | jedŭ                     |
35    | all            | vĭsĭ                     |
37    | there          | tamŭ                     |
39    | what           | czto                     |
46    | get            | vzęti                    |
48    | go             | iti                      |
49    | me             | mene                     |
50    | when           | kogda                    |
55    | no             | ne                       |
58    | know           | věděti                   |
61    | into           | vŭ                       |
62    | year           | lěto                     |
64    | good           | dobro                    |
75    | come           | prijiti                  |
77    | over           | nadŭ                     |
79    | also           | takože                   |
80    | back           | nazadŭ                   |
81    | after          | po                       |
82    | use            | upotrebiti               |
87    | first          | prŭvŭ                    |
88    | well           | dobro                    |
94    | any            | někŭto                   |
102   | need           | nŭždati                  |
104   | often          | čęsto                    |
106   | high           | vysokŭ                   |
108   | hold           | dŭržati                  |
110   | never          | nikolĭže                 |
112   | north          | sěverŭ                   |
114   | seem           | mniti sę                 |
116   | next           | slědujuštĭ               |
119   | begin          | načęti                   |
129   | both           | oba                      |
134   | mile           | poprište                 |
142   | girl           | dějvica                  |
147   | ever           | kogda-libo               |
152   | talk           | glagolati                |
158   | direct         | prямŭ                    |
160   | leave          | otiti                    |
162   | measure        | měriti                   |
169   | wind           | větrŭ                    |
194   | true           | istinĭnŭ                 |
198   | remember       | pomniti                  |
211   | table          | stol                     |
223   | pattern        | uzorŭ                    |
225   | center         | srěda                    |
227   | person         | člověkŭ                  |
230   | appear         | javiti sę                |
231   | road           | putĭ                     |
232   | map            | karta                    |
234   | rule           | rěšiti                   |
236   | pull           | vlěšti                   |
238   | notice         | paziti                   |
244   | drive          | gnati                    |
245   | lead           | vesti                    |
246   | cry            | plakati                  |
249   | note           | zamětka                  |
256   | field          | polje                    |
257   | rest           | pokoi                    |
258   | correct        | pravĭdĭnŭ                |
259   | able           | sposobĭnŭ                |
260   | pound          | funtŭ                    |
262   | beauty         | krasota                  |
264   | stood          | stojatĭ                  |
267   | teach          | učiti                    |
269   | final          | poslidĭnŭ                |
270   | gave           | dalŭ                     |
271   | green          | zelĭnŭ                   |
272   | oh             | o                        |
275   | ocean          | more                     |
278   | minute         | malŭ godŭ                |
279   | strong         | krěpŭkŭ                  |
280   | special        | osobĭnŭ                  |
282   | clear          | jasnŭ                    |
283   | tail           | хvostŭ                   |
284   | produce        | prinositi                |
286   | street         | ulica                    |
288   | lot            | mnogo                    |
289   | nothing        | ničĭtože                 |
291   | stay           | ostati                   |
293   | full           | plŭnŭ                    |
295   | blue           | sinĭ                     |
296   | object         | prědmětŭ                 |
298   | surface        | povŭrхĭ                  |
300   | moon           | měsęcĭ                   |
302   | foot           | noga                     |
304   | busy           | zanětrŭ                  |
307   | boat           | ladĭja                   |
309   | gold           | zlatŭ                    |
310   | possible       | možĭnŭ                   |
311   | plane          | letavicĭ                 |
314   | wonder         | diviti sę                |
317   | ago            | prěžde                   |
321   | shape          | oblikŭ                   |
324   | miss           | propustiti               |
325   | brought        | priněsŭ                  |
326   | heat           | žar                      |
329   | bring          | prinesti                 |
330   | yes            | ei                       |
331   | distant        | dalĭnŭ                   |
333   | east           | vŭstokŭ                  |
337   | grand          | velichĭ                  |
342   | heart          | sŭrdĭce                  |
343   | am             | jesmĭ                    |
344   | present        | nyně                     |
346   | dance          | plęsati                  |
349   | arm            | rąka                     |
350   | wide           | širokŭ                   |
351   | sail           | plыti                    |
354   | vary           | menjati                  |
355   | settle         | osaditi                  |
357   | weight         | těžestĭ                  |
359   | ice            | ledŭ                     |
362   | pair           | para                     |
364   | divide         | razděltĭ                 |
365   | syllable       | slogŭ                    |
369   | sudden         | vnezapĭnŭ                |
370   | count          | čistiti                  |
372   | reason         | pričina                  |
373   | length         | dlĭgota                  |
377   | region         | krajŭ                    |
378   | energy         | силa                     |
380   | probable       | věrojatĭnŭ               |
381   | bed            | lože                     |
383   | egg            | jajĭco                   |
385   | cell           | kletka                   |
389   | sit            | sěděti                   |
390   | race           | rodŭ                     |
396   | prove          | dokázati                 |
397   | lone           | edinŭ                    |
398   | leg            | noga                     |
404   | sky            | nebo                     |
406   | joy            | radostĭ                  |
410   | wild           | divĭjĭ                   |
411   | instrument     | orudije                  |
420   | past           | minulŭ                   |
421   | soft           | měgŭkŭ                   |
434   | strange        | čjudĭnŭ                  |
440   | meet           | sŭrěsti                  |
444   | solve          | razrěšiti                |
446   | whether        | li                       |
447   | push           | tlačiti                  |
448   | seven          | sedmĭ                    |
458   | result         | plodŭ                    |
459   | burn           | gorěti                   |
465   | type           | vidŭ                     |
468   | coast          | brěgŭ                    |
471   | silent         | молĭčalivŭ               |
472   | tall           | vysokŭ                   |
477   | finger         | prŭstŭ                   |
478   | industry       | dělanĭje                 |
483   | excite         | vzbuditi                 |
484   | natural        | prirodĭnŭ                |
485   | view           | vidŭ                     |
486   | sense          | čjustvo                  |
489   | quite          | věsĭma                   |
491   | case           | slučai                   |
498   | loud           | glasĭnŭ                  |
499   | spring         | věsna                    |

END OF FILE — NordalRussian_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
