APISKELD SUMERIAN - 500 Common Word Translations
Fantasy Language based on ApiskeldSumerian name patterns
Linguistic roots: Classical Sumerian (Ur III period, 2100-2000 BC) primary
with Georgian flavoring (consonant clusters, vowel-final words)
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Classical Sumerian, Ur III):
  lu (person/man), munus (woman), dumu (child/son), en (lord), lugal (king),
  kalam (land/country), ki (earth/place), an (sky/heaven), a (water),
  izi/gibil (fire), ud (day/sun), nanna (moon), mul (star), ge (night),
  nig (thing/matter), dug (good/speak), zu (know), tum (bring/take),
  dim (make/create), sum (give), gal (great/big), mah (exalted/great),
  zi (life/true), sig (small/low), nam (fate/essence), ur (dog/warrior),
  igi (eye/face/before), ka (mouth/word), sag (head/first), ub (corner/place),
  du (go/build), gin (go/come), na (stone/advice), sar (write/garden)

KEY SOURCE WORDS (Georgian):
  კაცი/katsi (man), გული/guli (heart), წყალი/tsqali (water), ცეცხლი/tsetskhli (fire),
  მიწა/mitsa (earth), ცა/tsa (sky), დღე/dghe (day), ღამე/ghame (night),
  მთა/mtha (mountain), ტყე/tqe (forest), სახელი/sakheli (name),
  კარგი/kargi (good), დიდი/didi (great/big), პატარა/patara (small),
  სიყვარული/siqvaruli (love), ხელი/kheli (hand), თავი/tavi (head/self)

PHONETIC BRIDGE STRATEGY:
  Sumerian: CV syllable structure (lu, ki, an, ud, mul), ergative suffixes (-e, -ra, -ak)
  Georgian: consonant clusters (kh, gh, ts, dz, ch, tq) + vowel finals
  Bridge: Georgian clusters soften Sumerian's open syllables into richer forms
  Shared: k, g, n, m, z, s sounds; short open vowels a/i/u
  Fantasy suffix system: -ul (noun/being), -aki (place/abstract), -ir (verb),
  -ang (adjective), -um (collective/great), -ezi (diminutive/fine)

===================================================================================
RANK | ENGLISH       | APISKELD                | ROOT / NOTES
410  | wild          | merukim                 | Sum. meru (wild/wind) + -kim
411  | instrument    | gishtikim               | Sum. gishti (instrument) + -kim
412  | kept          | dashkim                 | Sum. dash (kept/held) + -kim
413  | glass         | shelnakim               | Georgian shel (glass) + -nakim
414  | grass         | uakim                   | Sum. ua (grass) + -kim
415  | cow           | abukim                  | Sum. abu (cow/father) + -kim
416  | job           | akdum                   | Sum. ak (job/work) + -um
417  | edge          | zarim                   | Sum. zar (edge/bundle) + -im
418  | sign          | jeshakez                | Georgian jesh (sign) + -akez
419  | visit         | kashkamir               | Sum. kashka (to visit/run) + -mir
420  | past          | egirdum                 | Sum. egir (past/after) + -um
421  | soft          | sagakim                 | Sum. saga (soft) + -kim
422  | fun           | ezenim                  | Sum. ezen (fun/festival) + -im
423  | bright        | dallakim                | Sum. dalla (bright) + -kim
424  | gas           | imuakim                 | Sum. imu (gas/wind) + -akim
425  | weather       | anudakim                | Sum. an+ud (weather/sky-day) + -kim
426  | month         | itidakim                | Sum. itid (month) + -akim — attested
427  | million       | limalnakim              | Sum. limal (million/thousand) + -nakim
428  | bear          | urzakim                 | Sum. urza (bear) + -kim
429  | finish        | tillakim                | Sum. till (finish/end) + -akim
430  | happy         | hulakez                 | Sum. hul (happy/joy) + -akez
431  | hope          | gaeshdum                | Sum. gaesh (hope/need) + -um
432  | flower        | kishkim                 | Sum. kish (flower/city) + -kim
433  | clothe        | tugumir                 | Sum. tugu (to clothe) + -mir
434  | strange       | zanmekim                | Sum. zan+me (strange/other-divine) + -kim
435  | gone          | baramir                 | Sum. bara (gone/away) + -mir
436  | jump          | zagumir                 | Sum. zagu (to jump) + -mir
437  | baby          | dumuturkim              | Sum. dumu+tur (baby/small-child) + -kim
438  | eight         | ushushkim               | Sum. ushush (eight) + -kim
439  | village       | durakim                 | Sum. dura (village/strong) + -kim
440  | meet          | igigimir                | Sum. igi+gi (to meet/face-return) + -mir
441  | root          | shurdum                 | Sum. shur (root/rain) + -um
442  | buy           | shamu                   | Sum. sham (to buy) + -u — attested
443  | raise         | zagumir                 | Sum. zagu (to raise) + -mir
444  | solve         | dulumir                 | Sum. dulum (to solve) + -ir
445  | metal         | zabarkim                | Sum. zabar (bronze/metal) + -kim
447  | push          | gutmir                  | Sum. gut (to push/pull) + -mir
448  | seven         | iminnakim               | Sum. imin (seven) + -nakim — attested
449  | paragraph     | sarnakim                | Sum. sar (paragraph/write) + -nakim
450  | third         | eshnakim                | Sum. esh (third/shrine) + -nakim
452  | held          | dashmir                 | same as hold/held
453  | hair          | saharkim                | Sum. sahar (hair/dust) + -kim
454  | describe      | sarmir                  | Sum. sar (to describe/write) + -mir
455  | cook          | mushmir                 | Sum. mush (to cook) + -mir
456  | floor         | kidkim                  | Sum. kid (floor/mat) + -kim
458  | result        | drubakim                | Sum. drub (result/fruit) + -akim
459  | burn          | gibulmir                | Sum. gibil (to burn/fire) + -mir
460  | hill          | hursankim               | Sum. hursan (hill/mountain) + -kim
461  | safe          | nazhakez                | Sum. nazha (safe) + -kez
462  | cat           | surkim                  | Sum. sur (cat/squeeze) + -kim
463  | century       | mushnakim               | Sum. mush (century/snake) + -nakim
464  | consider      | subakir                 | Sum. suba (consider/counsel) + -ir
465  | type          | nigezkim                | Sum. nigez (type/kind) + -kim
466  | law           | dinarkim                | Sum. dinar (law/coin) + -kim
467  | bit           | turezkim                | Sum. turez (bit/small) + -kim
468  | coast         | abzuigishakim           | Sum. abzu+igi (coast/deep-face) + -kim
469  | copy          | sarmir                  | Sum. sar (to copy/write) + -mir
470  | phrase        | kaemekim                | Sum. ka+eme (phrase/mouth-tongue)
471  | silent        | sendukim                | Sum. sendu (silent) + -kim
472  | tall          | galdum                  | Sum. gal (tall/great) + -um
473  | sand          | sahardum                | Sum. sahar (sand/dust) + -um
474  | soil          | kidum                   | Sum. ki (soil/earth) + -um
475  | roll          | girumir                 | Sum. giru (to roll/wheel) + -mir
476  | temperature   | lazanakim               | Sum. laza+na (temperature/flame-stone) + -kim
477  | finger        | suezkim                 | Sum. suez (finger) + -kim
478  | industry      | aknakim                 | Sum. ak+na (industry/work-stone) + -kim
479  | value         | rinnakim                | Sum. rinn (value) + -akim
480  | fight         | merumir                 | Sum. meru (to fight/wind) + -mir
481  | lie           | nualumir                | same as lay
482  | beat          | rdungakim               | Georgian rdung (to beat) + -akim
483  | excite        | hulmir                  | Sum. hul (to excite/joy) + -mir
484  | natural       | kinamkim                | Sum. ki+nam (natural/earth-fate) + -kim
485  | view          | igidum                  | Sum. igi (view/face) + -um
486  | sense         | tsorakim                | Georgian tsor (sense) + -akim
487  | ear           | geshtiakim              | Sum. geshti (ear) + -akim
491  | case          | nigkiakim               | Sum. nig+ki (case/thing-place) + -akim
492  | middle        | sharakez                | Sum. shara (middle/among)
493  | kill          | gazhmir                 | Georgian gazh (to kill) + -mir
494  | son           | dumuakim                | Sum. dumu (son/child) + -akim
495  | lake          | tiamkidum               | Sum. tiam+ki (lake/water-place) + -um
496  | moment        | udeshkim                | same as minute
497  | scale         | nindadum                | Sum. ninda (scale/measure) + -um
498  | loud          | galkadum                | Sum. gal+ka (loud/great-mouth) + -um
499  | spring        | shegikim                | Sum. shegi (spring/early) + -kim
500  | observe       | igiakez                 | Sum. igi (to observe/eye) + -akez

===================================================================================
PHONETIC GUIDE FOR APISKELD
===================================================================================

Classical Sumerian sounds:
  All syllables are CV or CVC (consonant-vowel or C-V-C)
  Sumerian had no consonant clusters in native words
  Key consonants: g, k, d, t, b, p, m, n, sh, z, s, r, l, h
  Ergative language: agent of transitive verb marked with -e
  Genitive: -ak (of) — appears as -akim/-akez in Apiskeld
  Key Sumerian roots used: an (sky), ki (earth), a (water), me (divine order),
  lugal (king), dumu (child), igi (eye/face), ka (mouth), sag (head),
  gal (great), tur (small), nanna (moon), mul (star), ud (day/sun)

Georgian consonant clusters adding texture:
  kh  = aspirated velar (Georgian characteristic)
  gh  = voiced velar fricative
  ts  = affricate (as in "cats")
  dz  = voiced affricate
  tq  = ejective (Georgian unique sound, simplified)
  Used in: jesh, gazh, rdung, hesh, gdan, shel, tarsi

Apiskeld suffix system:
  -ul   = primary noun ending (singular/concrete)
  -um   = collective/abstract noun
  -kim  = locative/relational particle (place/concerning)
  -akez = genitive/topic particle (of/about)
  -akim = adjectival/descriptive ending
  -mir  = primary verb ending (action)
  -ir   = secondary verb (state/being)
  -dum  = place noun (location/large thing)
  -im   = emphatic/festival noun

Attested Sumerian words used directly (unchanged):
  lugal (king), nanna (moon), mul (star), kaskal (road),
  gushkin (gold), emesh (summer), enthen (winter), ezen (festival),
  imin (seven), itid (month), sham (to buy), sesh (brother),
  dumu (child/son), hul (joy), gibil (fire/new), dagal (wide),
  abzu (deep water), babbar (white), gina (true), kalag (strong)

===================================================================================
END OF FILE — ApiskeldSumerian_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
