IMPERIAL ENGLAND - 500 Common Word Translations
Fantasy Language: Imperial England
Linguistic roots: 50% Old/Middle English (equal blend, 5th-15th c.)
+ 50% borrowed/absorbed/conquered from 19 other Durgeth languages
Stylization: Fantasy-leaning. Imperial England feels like a dominant
tongue that has swallowed vocabulary from every culture it has touched.

NATURE OF BORROWING:
  CONQUEST borrowings (harder absorption, sometimes clipped/anglicized):
    Bovari Scythian, Naukin Mongolian, Stoneguard Toltec,
    Veildrift Slavic, Verdathi Aboriginal, Sylvarirum Navajo
  TRADE borrowings (softer, more equal assimilation):
    Solarirum French, Sunblade Greek, Gorirum Persian,
    Vethanirum Catalan, Apisveldir Byzantine, Apiskeld Sumerian
  ABSORBED borrowings (place-names, nature words, concepts):
    Ashirum Icelandic, Nordal Russian, Ashveld Swahili,
    Murrak Tasmanian-Etruscan, Arantza Basque, Apisdren Bhutan,
    Kreln Welsh-Polynesian

KEY OLD/MIDDLE ENGLISH ROOTS:
  OE: þe/se (the), and/ond (and), ne/na (not), on/an (on/at),
  of (of), mid (with), to (to), gif (if), forþan (because),
  beon/wesan (be), habban (have), don (do), secgan (say), geseon (see),
  gan (go), cuman (come), witan (know), gifan (give), niman (take),
  man/guma (man), wif (woman), cild (child), cyning (king),
  eorþe (earth), fyr (fire), wæter (water), heofon (sky/heaven),
  dæg (day), mona (moon), steorra (star), god (good), micel/mycel (great)
  ME: the, and, nat/not, on, of, with, to, if, for, because,
  been, have, do, say, see, go, come, know, give, take,
  man, woman, child, king, earth, fire, water, heven, day,
  moon, sterre, good, grete, true, world, time, place, way

SUFFIX/AFFIX SYSTEM FOR IMPERIAL ENGLAND:
  -en  = OE/ME infinitive/past participle marker
  -ish = OE/ME adjectival suffix (absorbed as quality marker)
  -wyn = OE/ME joy/delight (used as positive noun suffix)
  -ward = OE direction suffix (used for directional/place words)
  -dom  = OE realm/state suffix
  -craft = OE skill/art suffix
  Borrowed suffixes retained: -vel (Solarirum), -ara (Gorirum),
  -tli (Stoneguard, conquest-clipped to -tl), -vrath (Veildrift),
  -lara (Murrak, softened to -lar in Imperial)

===================================================================================
RANK | ENGLISH       | IMPERIAL ENGLAND        | SOURCE / NOTES
430  | happy         | hæpwyn                  | ME hap (luck) + OE -wyn
431  | hope          | hopa                    | OE hopa (hope) — attested
432  | flower        | flowerdom               | ME flour (Fr. trade) + OE -dom
433  | clothe        | clāþian                 | OE clāþian (to clothe) — attested
434  | strange       | strangevel              | Sol. strangevel blend (Fr. trade)
435  | gone          | agān                    | OE agān (gone/passed) — attested
436  | jump          | gympan                  | ME jumpen stylized
437  | baby          | baban                   | ME baban (baby) — attested
438  | eight         | eahta                   | OE eahta (eight) — attested
439  | village       | vilagedom               | ME village (Fr. trade) + OE -dom
440  | meet          | mētan                   | OE mētan (to meet) — attested
441  | root          | rōt                     | OE rōt (root) — attested
442  | buy           | bycgan                  | OE bycgan (to buy) — attested
443  | raise         | rǣran                   | OE rǣran (to raise/rear) — attested
444  | solve         | solvenel                | ME solven + -el blend
445  | metal         | metal                   | ME metal (Fr./Lat. trade) — attested
447  | push          | pūsian                  | OE pūsian (to push) — attested
448  | seven         | seofon                  | OE seofon (seven) — attested
449  | paragraph     | paragraphdom            | ME paragraf (Grk. trade) + OE -dom
450  | third         | þridda                  | OE þridda (third) — attested
452  | held          | heold                   | OE heold (held) — attested
453  | hair          | hǣr                     | OE hǣr (hair) — attested
454  | describe      | wrītan                  | OE wrītan (describe/write) — attested
455  | cook          | cōcian                  | OE cōcian (to cook) — attested
456  | floor         | flōr                    | OE flōr (floor) — attested
458  | result        | resultvel               | ME resulte (Fr. trade) + -vel
459  | burn          | bærnan                  | OE bærnan (to burn) — attested
460  | hill          | hyll                    | OE hyll (hill) — attested
461  | safe          | sēavel                  | ME sauf (Fr. trade) + -vel
462  | cat           | catt                    | OE catt (cat) — attested
463  | century       | centuriedom             | ME centurie (Fr. trade) + OE -dom
464  | consider      | cȳðan                   | OE cȳðan (consider/make known) — attested
465  | type          | typevel                 | ME type (Grk. trade) + -vel
466  | law           | lagu                    | OE lagu (law, from ON) — attested
467  | bit           | bite                    | OE bite (bit/bite) — attested
468  | coast         | costavel                | Sol. costareth clipped + -vel (trade)
469  | copy          | cōpian                  | ME copien (to copy, Fr. trade) — attested
470  | phrase        | phrasevel               | ME phrase (Grk. trade) + -vel
471  | silent        | stille                  | OE stille (silent/still) — attested
472  | tall          | heah-strang             | OE hēah (high) + strang blend
473  | sand          | sand                    | OE sand — attested
474  | soil          | sōl                     | OE sōl (soil/muddy place) — attested
475  | roll          | rollian                 | OE rollian (to roll) — attested
476  | temperature   | hǣtmǣl                  | OE hǣtu (heat) + mǣl (measure) blend
477  | finger        | finger                  | OE finger — attested
478  | industry      | industricraft           | ME industrie (Fr. trade) + OE -craft
479  | value         | weorþ                   | OE weorþ (value/worth) — attested
480  | fight         | feohtan                 | OE feohtan (to fight) — attested
481  | lie           | licgan                  | OE licgan (to lie/lay) — attested
482  | beat          | bēatan                  | OE bēatan (to beat) — attested
483  | excite        | onstyrian               | OE onstyrian (to excite/stir) — attested
484  | natural       | gecynde                 | OE gecynde (natural/innate) — attested
485  | view          | wlītan                  | OE wlītan (to view/look) — attested
486  | sense         | andgit                  | OE andgit (sense/understanding) — attested
487  | ear           | ēare                    | OE ēare (ear) — attested
491  | case          | casus                   | ME cas (case, Fr./Lat. trade) — attested
492  | middle        | middel                  | OE middel (middle) — attested
493  | kill          | cwellan                 | OE cwellan (to kill) — attested
494  | son           | sunu                    | OE sunu (son) — attested
495  | lake          | lagu                    | OE lagu (lake/water) — attested
496  | moment        | morwenwyn               | OE morgen (moment) + -wyn
497  | scale         | scāle                   | OE scāle (scale/bowl) — attested
498  | loud          | hlūd                    | OE hlūd (loud) — attested
499  | spring        | springtīd               | OE springtīd (springtime) — attested
500  | observe       | behealdan               | OE behealdan (to observe/behold) — attested

===================================================================================
BORROWED VOCABULARY REGISTER
===================================================================================

The following 50 words are drawn directly from other Durgeth languages,
showing Imperial England's history of conquest and trade:

CONQUEST BORROWINGS (clipped, anglicized, absorbed under force):
  From Bovari Scythian — military/steppe vocabulary:
    "skadom"  = THE definite article (formal/legal — Bov. ska)
    "karwork" = hard labour (Bov. kar = do + OE weorc)
    "mazgreat" = mighty/overwhelming (Bov. maz = great)
    "spasdom"  = scrutiny/inspection (Bov. spas = look)
  From Naukin Mongolian — conquest/command vocabulary:
    "terende"  = that one/the appointed (Nau. tere + OE -ende)
    "qagancraft" = rulership/imperial skill (Nau. qaγan = great ruler)
    "yekedom"  = greatness of dominion (Nau. yeke = great)
  From Stoneguard Toltec — tribute vocabulary:
    "tequitwork" = tribute-labour (Sto. tequitl = work/tribute)
    "chihuaven" = made/crafted (Sto. chihua = make + OE -en)
  From Veildrift Slavic — absorbed rebel/subject vocabulary:
    "radwork"  = forced labour (Vei. rad = work)
    "vremedoom" = a time of reckoning (Vei. vreme = time + OE -dom)

TRADE BORROWINGS (softened, integrated naturally):
  From Solarirum French — courtly/administrative vocabulary:
    "grauntel"  = a great lord's grant (Sol. grauntel)
    "jurdom"    = daily administration (Sol. jurvel = day)
    "trouvaille" = a discovery/found thing (Sol. root)
  From Sunblade Greek — scholarly/technical vocabulary:
    "khroncraft" = the study of time (Grk. khronos + OE -craft)
    "logosdom"   = the realm of reason (Grk. logos + OE -dom)
    "polisward"  = the city quarter (Grk. polis + OE -ward)
  From Gorirum Persian — luxury/diplomatic vocabulary:
    "bazarvel"   = a market district (Gor. bazar root)
    "dīvāndom"   = a council chamber (Gor. dīvān root)
    "āzādwyn"    = the joy of freedom (Gor. āzād = free + OE -wyn)

ABSORBED BORROWINGS (natural world, place-names, spiritual):
  From Verdathi Aboriginal — landscape/terrain vocabulary:
    "cooloomahyll" = a great hill (Ver. coolooma = great + OE hyll)
    "boolya"       = deep magic/power (Ver. boolya — attested)
    "wangal"       = belonging to a place (Ver. wangal root)
  From Sylvarirum Navajo — spiritual/harmony vocabulary:
    "hózhówyn"     = beauty-way joy (Nav. hózhó = harmony/beauty)
    "dinedom"      = the realm of a people (Nav. diné = the people)
  From Ashirum Icelandic — seafaring/natural vocabulary:
    "skaldcraft"   = the art of verse (Ice. skáld = poet)
    "hamarcraft"   = hammer-craft/smithing (Ice. hamarr = hammer)
  From Murrak Tasmanian — elemental vocabulary:
    "ninafire"     = sacred fire (Mur. nina = fire)
    "timmewater"   = still deep water (Mur. timme = water)
    "paraland"     = ancestral ground (Mur. para = place/country)
  From Arantza Basque — mountain/stone vocabulary:
    "aitzcraft"    = stone-craft/masonry (Ara. aitz = cliff/rock)
    "bihotzwyn"    = heart-joy/deep feeling (Ara. bihotz = heart)
  From Kreln Welsh-Polynesian — border/bardic vocabulary:
    "llaisvrath"   = a border voice/herald (Krl. llais = voice)
    "moracraft"    = seafaring skill (Krl. môr = sea + OE -craft)

===================================================================================
PHONETIC GUIDE FOR IMPERIAL ENGLAND
===================================================================================

Old English sounds preserved:
  þ   = voiceless dental fricative (as in "thin") — the thorn
  ð   = voiced dental fricative (as in "the") — the eth
  ā/ē/ī/ō/ū = long vowels (marked with macron)
  sc  = /sh/ sound (scip = ship, scēodan = shadow)
  cg  = /dj/ sound (ecg = edge)
  hw  = voiceless w (hwæt, hwīt, hwēol)
  ċ   = /ch/ sound before front vowels (cild = child)
  Many OE words: directly attested in Beowulf, Anglo-Saxon Chronicle,
  Alfred's translations, Ælfric's homilies

Middle English sounds:
  -en = infinitive/participle ending (geten, writen)
  -vel = French trade suffix (integrated from Solarirum)
  -dom = OE realm/state (used more broadly in ME)
  -craft = OE skill/art (heavily used in Imperial compound words)
  -wyn = OE joy/pleasure (used as positive abstract suffix)
  -ward = OE direction (used for positional/place concepts)

Borrowed phonemes that survive in Imperial:
  θ   = from Murrak (the dental fricative — merges with OE þ/ð)
  vel = from Solarirum French (soft trade ending)
  -dom/-craft/-wyn = OE suffixes that swallowed foreign roots
  Clipping pattern: foreign words are shortened by 1-2 syllables
  then given an OE suffix — "solarirum's graunteldom" = "grandedom"

Key attested Old English words used directly (unchanged):
  and, of, to, on, in, for, with, by, from, or, if, not,
  the (þe), a/an, he, she, we, I, you, they, him, her, his,
  be/beon, have/habban, do/dōn, say/secgan, see/gesēon,
  go/gān, come/cuman, know/witan, give/gifan, take/niman,
  man, woman, child/cild, king/cyning, earth/eorþe, fire/fȳr,
  water/wæter, day/dæg, moon/mōna, star/steorra, good/gōd,
  great/grēat, gold/gold, hand/hand, word/word, way/weg,
  ship/scip, book/bōc, heart/heorte, winter/winter, summer/sumor,
  east/ēast, west/west, north/norþ, south/sūþ

===================================================================================
END OF FILE — ImperialEngland_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
