ARANTZA KHOISAN-BASQUE - 500 Common Word Translations
Fantasy Language based on ArantzaKhoisan-Basque name patterns
Linguistic roots: Broad Khoisan blend (ǀXam, Juǀ'hoan, ǂKhomani, Naro)
with Old Basque (medieval, 10th-15th c.) primary
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Broad Khoisan):
  ǀXam: ǀkui (person), ǀke (go), ǀna (see), ǁka (water), ǂka (fire),
  !xo (big/great), !u (give), ǀa (eat/take), ǁki (know), ǀhun (die),
  Juǀ'hoan: n!a (person), tsi (go), ǀui (water), dzi (eat), !oa (come),
  kxʼao (man), ǂoa (good), n!ao (heart), ǁxao (cold), !xabe (tree),
  Naro: ǂhana (good), ǁkao (big), ǀgoro (person), tshoa (go/walk),
  ǂkui (fire), ǁnao (water), ǁhao (sky), tsua (day), ǁkao (great)

KEY SOURCE WORDS (Old Basque, medieval):
  Medieval Basque: gizon (man), emazte (woman), haur (child), jaun (lord),
  errege (king), lur (earth/land), su (fire), ur (water), zeru (sky),
  egun (day), ilargi (moon), izar (star), gau (night),
  on (good), handi (great/big), egia (truth), dena (all),
  joan (go), etorri (come), ikusi (see), esan (say), jakin (know),
  eman (give), hartu (take), ibili (walk), egin (do/make)

PHONETIC BRIDGE STRATEGY:
  Khoisan: click consonants (ǀ ǁ ǂ ! ʘ) + voiced/aspirated variants,
  short CV syllables, front vowels a/i/u, nasal-final words
  Old Basque: -tza/-itza/-etxe endings, tx/tz affricates, -ari/-arri/-uri,
  agglutinative suffixes (-ko/-eko possession, -an locative, -tik ablative)
  Bridge: Both share open a/i/u vowels, short syllables, tx/tz/ts affricates
  (Basque tz ≈ Khoisan ts; Basque tx ≈ Khoisan click release sounds)
  Fantasy representation: clicks romanized as kx/qx/tx/ǀ-tz blends
  so they're speakable in fantasy context while preserving the exotic quality.
  Fantasy suffix system: -itza (noun, fr. Basque -itza), -anu (verb, fr. Basque -anu),
  -kxo (adjective, fr. Khoisan !xo = big + Basque -ko), -tza (place/abstract),
  -uri (being/person, fr. Basque -uri), -qxan (intensive, fr. Khoisan ǀXam -n)

===================================================================================
RANK | ENGLISH       | ARANTZA                 | ROOT / NOTES
388  | forest        | basokxo                 | Basq. baso (forest) + -kxo
389  | sit           | eseri anu               | Basq. eseri (to sit) + -anu
390  | race          | lasterketa itz          | Basq. lasterketa (race) + -itz
391  | window        | leihoitza               | Basq. leiho (window) + -itza
392  | store         | dendaitz                | Basq. denda (store/shop) + -itz
393  | summer        | udaitza                 | Basq. uda (summer) + -itza
394  | train         | trenaitz                | Basq. tren (train) + -itza
395  | sleep         | lo eginanu              | Basq. lo egin (to sleep) + -anu
396  | prove         | frogatu anu             | Basq. frogatu (to prove) + -anu
397  | lone          | bakarkxo                | Basq. bakar (lone/alone) + -kxo
398  | leg           | hankakxo                | Basq. hanka (leg) + -kxo
399  | exercise      | ariketa itz             | Basq. ariketa (exercise) + -itz
400  | wall          | hormakxo                | Basq. horma (wall) + -kxo
401  | catch         | harrapatu anu           | Basq. harrapatu (to catch) + -anu
402  | mount         | igo anu                 | Basq. igo (to mount/climb) + -anu
403  | wish          | nahi izananu            | same as want
404  | sky           | zeruitza                | Basq. zeru (sky) + -itza
405  | board         | oholkxo                 | Basq. ohol (board/plank) + -kxo
406  | joy           | poztasunitz             | Basq. poztasun (joy) + -itz
407  | winter        | negukxo                 | Basq. negu (winter) + -kxo
408  | sat           | eseri zen               | Basq. eseri (sat) stylized
409  | written       | idatziitz               | Basq. idatzi (written) + -itz
410  | wild          | basatikxo               | Basq. basati (wild) + -kxo
411  | instrument    | instrumentuitz          | Basq. instrumento + -itz
412  | kept          | gordeta egon            | Basq. gordeta (kept) stylized
413  | glass         | beirakxo                | Basq. beira (glass) + -kxo
414  | grass         | belarrkxo               | Basq. belar (grass) + -kxo
415  | cow           | behiitz                 | Basq. behi (cow) + -itz
416  | job           | lanitza                 | same as work
417  | edge          | ertzaitz                | Basq. ertza (edge) + -itz
418  | sign          | seinaleitz              | Basq. seinale (sign) + -itz
419  | visit         | bisitatu anu            | Basq. bisitatu (to visit) + -anu
420  | past          | iraganitz               | Basq. iraganaldi (past) + -itz
421  | soft          | bigunitza               | Basq. bigun (soft) + -itza
422  | fun           | dibertsinoitz           | Basq. dibertsiño (fun) + -itz
423  | bright        | distiratsukxo           | Basq. distiratu (bright) + -kxo
424  | gas           | gasaitz                 | Basq. gas + -aitz
425  | weather       | eguraldiitz             | Basq. eguraldi (weather) + -itz
426  | month         | hilabetekxo             | Basq. hilabete (month) + -kxo
427  | million       | milioikxo               | Basq. milioi (million) + -kxo
428  | bear          | hartzaitz               | Basq. hartz (bear) + -aitz
429  | finish        | bukatu anu              | Basq. bukatu (to finish) + -anu
430  | happy         | zoritsuitz              | Basq. zoriontsua (happy) + -itz
431  | hope          | itxaropenaitz           | Basq. itxaropena (hope) + -itz
432  | flower        | loretzak                | Basq. lore (flower) + -tzak
433  | clothe        | jantzi anu              | Basq. jantzi (to clothe) + -anu
434  | strange       | arrarokuitz             | Basq. arraro (strange) + -kuitz
435  | gone          | joan daitz              | Basq. joan da (gone) stylized
436  | jump          | jauzi eginanu           | Basq. jauzi egin (to jump) + -anu
437  | baby          | haurtxoitz              | Basq. haurtxo (baby) + -itz
438  | eight         | zortziitza              | Basq. zortzi (eight) + -itza
439  | village       | herriaitz               | Basq. herri (village/people) + -itz
440  | meet          | bildu anu               | Basq. bildu (to meet/gather) + -anu
441  | root          | sustaixkxo              | Basq. sustrai (root) + -kxo
442  | buy           | erosi anu               | Basq. erosi (to buy) + -anu
443  | raise         | altxatu anu             | Basq. altxatu (to raise) + -anu
444  | solve         | konpondu anu            | Basq. konpondu (to solve) + -anu
445  | metal         | metalakxo               | Basq. metala (metal) + -kxo
447  | push          | bultzatu anu            | Basq. bultzatu (to push) + -anu
448  | seven         | zazpikxo                | Basq. zazpi (seven) + -kxo
449  | paragraph     | paragrafoitz            | Basq. paragrafo (paragraph) + -itz
450  | third         | hirugarrenitz           | Basq. hirugarren (third) + -itz
452  | held          | eutsita egon            | Basq. eutsita (held) stylized
453  | hair          | ileaitz                 | Basq. ile (hair) + -aitz
454  | describe      | deskribatu anu          | Basq. deskribatu (to describe) + -anu
455  | cook          | prestatu anu            | Basq. prestatu (to cook/prepare) + -anu
456  | floor         | zoruitza                | Basq. zoru (floor) + -itza
458  | result        | emaitzaitz              | Basq. emaitza (result) + -itz
459  | burn          | erre anu                | Basq. erre (to burn) + -anu
460  | hill          | mendikaitz              | Basq. mendika (hill) + -itz
461  | safe          | segurukxo               | Basq. seguru (safe) + -kxo
462  | cat           | katuaitz                | Basq. katu (cat) + -itz
463  | century       | mendekxo                | Basq. mende (century) + -kxo
464  | consider      | kontuan hartu anu       | Basq. kontuan hartu (consider) + -anu
465  | type          | motakxo                 | Basq. mota (type/kind) + -kxo
466  | law           | legekxo                 | Basq. lege (law) + -kxo
467  | bit           | pixkabatitz             | Basq. pixka bat (a bit) + -itz
468  | coast         | itsasertzeitz           | Basq. itsasertz (coast) + -itz
469  | copy          | kopia anu               | Basq. kopia (copy) + -anu
470  | phrase        | esaldiitz               | Basq. esaldi (phrase) + -itz
471  | silent        | issilkxo                | Basq. ixil (silent) + -kxo
472  | tall          | garaitza                | Basq. garaia (tall) + -itza
473  | sand          | hareakxo                | Basq. harea (sand) + -kxo
474  | soil          | lurzorukxo              | same as ground
475  | roll          | biratu anu              | Basq. biratu (to roll/turn) + -anu
476  | temperature   | tenperaturakxo          | Basq. tenperatura + -kxo
477  | finger        | behatzaitz              | Basq. behatz (finger) + -aitz
478  | industry      | industriakxo            | Basq. industria + -kxo
479  | value         | balioitz                | Basq. balio (value) + -itz
480  | fight         | borroka eginanu         | Basq. borroka egin (fight) + -anu
481  | lie           | etzananu                | same as lay
482  | beat          | jo anu                  | Basq. jo (to beat/hit) + -anu
483  | excite        | zirrara anu             | Basq. zirrara (excite/thrill) + -anu
484  | natural       | naturalakxo             | Basq. naturala (natural) + -kxo
485  | view          | ikuspegiitz             | Basq. ikuspegi (view) + -itz
486  | sense         | zentzuitz               | Basq. zentzu (sense) + -itz
487  | ear           | belarriitz              | Basq. belarri (ear) + -itz
491  | case          | kasuaitz                | Basq. kasu (case) + -itz
492  | middle        | erdikxo                 | Basq. erdi (middle/half) + -kxo
493  | kill          | hil anu                 | Basq. hil (to kill) + -anu
494  | son           | semekxo                 | Basq. seme (son) + -kxo
495  | lake          | aintziraitz             | Basq. aintzira (lake) + -itz
496  | moment        | unekxo                  | Basq. une (moment) + -kxo
497  | scale         | eskalaitz               | Basq. eskala (scale) + -itz
498  | loud          | ozenitza                | Basq. ozen (loud) + -itza
499  | spring        | udaberritz              | Basq. udaberri (spring) + -itz
500  | observe       | behatu anu              | Basq. behatu (to observe) + -anu

===================================================================================
PHONETIC GUIDE FOR ARANTZA
===================================================================================

Old/Medieval Basque sounds preserved:
  tz  = voiceless affricate (as in "cats") — very characteristic of Basque
  tx  = voiceless palatal affricate (as in "church")
  z   = voiceless alveolar fricative (as in "see" — NOT "zoo")
  s   = apical s (slightly retroflex — different from Castilian s)
  rr  = trilled r (strong vibrant)
  Agglutinative: -ko (possessive), -an (locative), -tik (ablative),
  -ra (allative/to), -ren (genitive)

Khoisan click consonants romanized for fantasy use:
  The name list uses: Kx/kx, Qk/qk, Qq/qq, Tcl/tcl, Tk/tk, Tkl/tkl,
  Tl/tl, Tx/tx, X/x as click representations
  In Arantza: clicks appear as -kxo (noun intensifier), -qxan (emphasis),
  -tzak (case marker), -aitz (strong ending from Basq. -aitz = cliff/strong)
  The -aitz ending (Basque for "cliff/crag") naturally evokes a click-like
  percussive quality when spoken — a genuine phonetic bridge

Arantza suffix system:
  -itza  = primary noun ending (fr. Basq. -itza place names like Gasteiz)
  -kxo   = adjective/quality ending (Basq. -ko + Khoi kx- click)
  -anu   = verb ending (fr. Basq. verbal endings)
  -itz   = secondary noun (shorter form, more common nouns)
  -tza   = place/abstract noun (fr. Basq. -tza suffix)
  -tzak  = pronoun/case marker (fr. Basq. -tzat)
  -aitz  = strong/intense ending (fr. Basq. aitz = cliff/rock)
  -ita   = soft/diminutive ending

Key attested Basque words used:
  su (fire), ur (water), lur (earth), zeru (sky), egun (day),
  ilargi (moon), izar (star), errege (king), on (good), handi (great),
  bat (one), bi (two), bost (five), sei (six), zazpi (seven),
  zortzi (eight), hamar (ten), ehun (hundred), mila (thousand),
  joan (go), etorri (come), ikusi (see), esan (say), jakin (know),
  eman (give), hartu (take), ibili (walk), egin (do/make)

===================================================================================
END OF FILE — ArantzaKhoisanBasque_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
