ASHVELD SWAHILI-QUECHUA - 500 Common Word Translations
Fantasy Language based on AshveldSwahili-Quechua name patterns
Linguistic roots: Swahili (Bantu, any era) + Quechua (Andean/Incan)
Blending strategy: Quechua's open vowels (a, i, u) and -q/-k/-y endings
bridge naturally with Swahili's vowel-final words and ki-/ku-/m-/wa- prefix system.
Phonetic bridges prioritized — words that could belong to either language used freely.

KEY SOURCE WORDS:
  Swahili: mtu (person), maji (water), moto (fire), ardhi (earth), mbingu (sky),
  jua (sun), mwezi (moon), nyota (star), siku (day), usiku (night), nchi (land),
  njia (road/way), kuja (to come), kwenda (to go), kusema (to say), kuona (to see),
  kupenda (to love/like), kujua (to know), kutoa (to give), kuchukua (to take),
  kubwa (big/great), nzuri (good/beautiful), kweli (truth), watu (people),
  Quechua: runa (person), yaku (water), nina (fire), allpa (earth), hanaq (sky/above),
  inti (sun), killa (moon), quyllur (star), punchaw (day), tuta (night), llaqta (town),
  ñan (road/path), hamuy (to come), riy (to go), rimay (to speak), qaway (to see),
  munay (to love/want), yachay (to know), quy (to give), hapiy (to take/catch),
  hatun (big/great), sumaq (good/beautiful), chiqan (truth/straight), runakuna (people)

PHONETIC BRIDGE NOTES:
  Both languages share: open a/i/u vowels, k/q stops, no complex consonant clusters
  Swahili ku- prefix (verb infinitive) bridges with Quechua verb stems ending in -y
  Swahili m-/wa- animate prefixes bridge with Quechua -runa/-kuna plurals
  Shared sounds: k, m, n, w, y, s, t, ch (Swahili ch = Quechua ch)
  Bridge words: words using only a,i,u,k,m,n,w,y,s feel native to both

===================================================================================
RANK | ENGLISH       | ASHVELD SW-QU           | ROOT / NOTES
411  | instrument    | chombo                  | Sw. chombo (instrument/vessel) attested
412  | kept          | alihifadhi              | Sw. alihifadhi (kept) stylized
413  | glass         | kioo                    | Sw. kioo (glass/mirror) — attested
414  | grass         | nyasi                   | Sw. nyasi (grass) — attested
415  | cow           | ng'ombe                 | Sw. ng'ombe (cow) — attested
416  | job           | kazi                    | Sw. kazi (job — same as work)
417  | edge          | ukingo                  | Sw. ukingo (edge/border) — attested
418  | sign          | ishara                  | Sw. ishara (sign) — attested
419  | visit         | kutembelea              | Sw. kutembelea (to visit) — attested
420  | past          | iliyopita               | Sw. iliyopita (past — same as ago)
421  | soft          | laini                   | Sw. laini (soft) — attested
422  | fun           | burudani                | Sw. burudani (fun/entertainment) attested
423  | bright        | angavu                  | Sw. angavu (bright) — attested
424  | gas           | gesi                    | Sw. gesi (gas) — attested
425  | weather       | hali ya hewa            | Sw. hali ya hewa (weather) — attested
426  | month         | mwezi                   | Sw. mwezi (month/moon) — attested
427  | million       | milioni                 | Sw. milioni (million) — attested
428  | bear          | dubu                    | Sw. dubu (bear) — attested
429  | finish        | kumaliza                | Sw. kumaliza (to finish) — attested
430  | happy         | furaha                  | Sw. furaha (happy — same as joy)
431  | hope          | matumaini               | Sw. matumaini (hope) — attested
432  | flower        | ua                      | Sw. ua (flower) — attested
433  | clothe        | kuvaa                   | Sw. kuvaa (to clothe/wear) — attested
434  | strange       | ajabu                   | Sw. ajabu (strange/wonder) — attested
435  | gone          | ameenda                 | Sw. ameenda (gone/left) — attested
436  | jump          | kuruka                  | Sw. kuruka (to jump) — attested
437  | baby          | mtoto                   | Sw. mtoto (baby/child) — attested
438  | eight         | pusaq                   | Qu. pusaq (eight) — attested
439  | village       | kijiji                  | Sw. kijiji (village) — attested
440  | meet          | kukutana                | Sw. kukutana (to meet) — attested
441  | root          | mizizi                  | Sw. mizizi (roots) — attested
442  | buy           | kununua                 | Sw. kununua (to buy) — attested
443  | raise         | kuinua                  | Sw. kuinua (to raise) — attested
444  | solve         | kutatua                 | Sw. kutatua (to solve) — attested
445  | metal         | chuma                   | Sw. chuma (metal/iron) — attested
447  | push          | kusukuma                | Sw. kusukuma (to push) — attested
448  | seven         | qanchis                 | Qu. qanchis (seven) — attested
449  | paragraph     | aya                     | Sw. aya (paragraph/verse) — attested
450  | third         | tatu                    | Sw. tatu (three/third) — attested
451  | shall         | itabidi                 | Sw. itabidi (shall — same)
452  | held          | alishikilia             | Sw. alishikilia (held) stylized
453  | hair          | nywele                  | Sw. nywele (hair) — attested
454  | describe      | kuelezea                | Sw. kuelezea (to describe) — attested
455  | cook          | kupika                  | Sw. kupika (to cook) — attested
456  | floor         | sakafu                  | Sw. sakafu (floor) — attested
458  | result        | matokeo                 | Sw. matokeo (result) — attested
459  | burn          | kuungua                 | Sw. kuungua (to burn) — attested
460  | hill          | kilima                  | Sw. kilima (hill) — attested
461  | safe          | salama                  | Sw. salama (safe/peace) — attested
462  | cat           | paka                    | Sw. paka (cat) — attested
463  | century       | karne                   | Sw. karne (century) — attested
464  | consider      | kufikiria               | Sw. kufikiria (to consider) — attested
465  | type          | aina                    | Sw. aina (type/kind) — attested
466  | law           | sheria                  | Sw. sheria (law — same as rule)
467  | bit           | kidogo                  | Sw. kidogo (bit/little — same as less)
468  | coast         | pwani                   | Sw. pwani (coast) — attested
469  | copy          | nakala                  | Sw. nakala (copy) — attested
470  | phrase        | msemo                   | Sw. msemo (phrase/saying) — attested
471  | silent        | kimya                   | Sw. kimya (silent/quiet) — attested
472  | tall          | refu                    | Sw. refu (tall) — attested
473  | sand          | mchanga                 | Sw. mchanga (sand) — attested
474  | soil          | udongo                  | Sw. udongo (soil) — attested
475  | roll          | kuvingirika             | Sw. kuvingirika (to roll) — attested
476  | temperature   | joto                    | Sw. joto (temperature — same as warm)
477  | finger        | kidole                  | Sw. kidole (finger) — attested
478  | industry      | viwanda                 | Sw. viwanda (industry) — attested
479  | value         | thamani                 | Sw. thamani (value) — attested
480  | fight         | kupigana                | Sw. kupigana (to fight) — attested
481  | lie           | kulala                  | Sw. kulala (to lie/sleep — same)
482  | beat          | kupiga                  | Sw. kupiga (to beat/hit) — attested
483  | excite        | kusisimua               | Sw. kusisimua (to excite) — attested
484  | natural       | asili                   | Sw. asili (natural/origin) — attested
485  | view          | mtazamo                 | Sw. mtazamo (view/perspective) attested
486  | sense         | hisia                   | Sw. hisia (sense/feeling) — attested
487  | ear           | sikio                   | Sw. sikio (ear) — attested
491  | case          | kesi                    | Sw. kesi (case) — attested
492  | middle        | katikati                | Sw. katikati (middle — same as center)
493  | kill          | kuua                    | Sw. kuua (to kill) — attested
494  | son           | mwana                   | Sw. mwana (son/child) — attested
495  | lake          | ziwa                    | Sw. ziwa (lake) — attested
496  | moment        | dakika moja             | Sw. (one minute/moment) stylized
497  | scale         | kipimo                  | Sw. kipimo (scale — same as measure)
498  | loud          | kwa sauti               | Sw. kwa sauti (loudly) — attested
499  | spring        | chemchemi               | Sw. chemchemi (spring/source) attested
500  | observe       | kuangalia               | Sw. kuangalia (to observe) — attested

--- QUECHUA BRIDGE WORDS ---
(Numbers and select words where Quechua bridges naturally with Swahili phonetics)
83   | two           | iskay                   | Qu. iskay (two) — attested
84   | how           | imayna                  | Qu. imayna (how) — attested
100  | great         | hatun                   | Qu. hatun (great/large) — attested
197  | five          | pichqa                  | Qu. pichqa (five) — attested
210  | six           | suqta                   | Qu. suqta (six) — attested
215  | ten           | chunka                  | Qu. chunka (ten) — attested
253  | star          | quyllur                 | Qu. quyllur (star) — attested
300  | moon          | killa                   | Qu. killa (moon) — attested
316  | thousand      | waranqa                 | Qu. waranqa (thousand) — attested
337  | grand         | hatun                   | Qu. hatun (grand — same as great)
438  | eight         | pusaq                   | Qu. pusaq (eight) — attested
448  | seven         | qanchis                 | Qu. qanchis (seven) — attested
78   | think         | yachay                  | Qu. yachay (to think/know) — attested

===================================================================================
PHONETIC GUIDE FOR ASHVELD SWAHILI-QUECHUA
===================================================================================

Shared phonetic features (the bridge zone):
  Both languages: open vowels a, i, u dominate
  Both languages: k/q stops are common and natural
  Both languages: no heavy consonant clusters
  Both languages: words tend to end in vowels
  Bridge consonants: m, n, w, y, s, t, k/q, ch

Swahili features preserved:
  ng'  = velar nasal + glottal (ng'ombe — unique to Bantu)
  nz   = prenasalized z (nzuri, nzima)
  mb   = prenasalized b (mbingu, mbwa, mbali)
  nd   = prenasalized d (ndege, ndugu)
  Noun class prefixes: m-/mi- (person/tree), ki-/vi- (thing), u- (abstract),
  wa- (people plural), ma- (plural/liquid), ku- (verb infinitive)

Quechua features preserved:
  q    = uvular stop (deeper than k — quyllur, qanchis, qaway)
  ll   = lateral affricate (llaqta, killa)
  ñ    = palatal nasal (ñan = road)
  -y   = verb infinitive ending (rimay, munay, hapiy)
  -kuna = plural marker (runakuna = people)
  -sapa = augmentive (hatun, sapa)
  Vowel harmony: a/i/u only (no e or o in classical Quechua)

Blend construction rules for new Ashveld words:
  Quechua root + Swahili ku- prefix = verb (e.g. ku-rimay = to speak)
  Swahili noun + Quechua -kuna = plural (e.g. mtu-kuna = persons)
  Quechua -y ending + Swahili -a ending = bridge verbs ending in -ya
  Numbers: Quechua numbers used (iskay, tawa, pichqa, suqta, qanchis, pusaq,
  isqun, chunka, waranqa) — their k/q/a sounds fit Swahili phonology naturally

===================================================================================
END OF FILE — AshveldSwahiliQuechua_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
