SYLVARIRUM NAVAJO - 500 Common Word Translations
Fantasy Language based on SylvarirumNavajo name patterns
Linguistic roots: Diné bizaad (Navajo) — real roots with constructed fill
Attested Navajo words used where possible; constructed Navajo-pattern words fill gaps.

KEY SOURCE WORDS (Diné bizaad / Navajo):
  nizhóní (beautiful/good), hózhó (harmony/beauty/balance), shí (I/my),
  nił (with you), diné (people/person), dinétah (homeland), nahasdzáán (earth),
  yádiłhił (sky), jį́ (day), tł'ęę' (night), tó (water), kǫ' (fire),
  tsé (rock/stone), dzil (mountain), tsin (wood/tree), niyol (wind),
  chizh (firewood), ałhą́ą́' (together), haa (how/what), haash (what is it),
  shijéí (my heart), bił (with it), naaki (two), tááʼ (three), dįʼ (four),
  ashdlaʼ (five), hashtł'ish (mud), dził (mountain — variant)

NOTE: Navajo is a tonal, polysynthetic language. Tones (high/low) are marked
with accent: á (high), a (low). Nasalization marked with ą. Glottal stop = ʼ.
In Sylvarirum, tones are softened for fantasy use but phonemic shapes preserved.
Constructed words follow Navajo phonotactics: CV, CVC, CCVC patterns with
characteristic consonants: zh, sh, ts, tł, dz, gh, hw, kw, łʼ.

===================================================================================
RANK | ENGLISH       | SYLVARIRUM NAVAJO       | NAVAJO ROOT / NOTES
96   | day           | jį́                      | Nav. jį́ (day) — attested
188  | year          | naaʼahóhai              | Nav. naaʼahóhai (year/Thanksgiving) stylized
193  | hour          | ahéʼéłtį                | Nav. (hour/time period — same)
196  | week          | damóo                   | Nav. damóo (week/Sunday) — attested
213  | minute        | ałtsé ahéʼéłtį          | Nav. (small time/minute)
214  | morning       | abíní                   | Nav. abíní (morning) — attested
426  | month         | ooljééʼ                 | Nav. ooljééʼ (moon/month — same as moon)

===================================================================================
PHONETIC GUIDE FOR SYLVARIRUM NAVAJO
===================================================================================

Navajo sounds preserved in Sylvarirum:
  ł   = voiceless lateral fricative (like Welsh "ll" in Llanberis)
  tł  = lateral affricate (t + ł combined)
  ts  = affricate (as in "cats")
  zh  = voiced fricative (as in "measure")
  ʼ   = glottal stop (brief throat closure)
  ą   = nasalized a (air through nose)
  į   = nasalized i
  High tone: á, í, ó, ú (marked with acute accent)
  Low tone: a, i, o, u (unmarked)

Syllable structure:
  Navajo favors: CV, CVC, CCVC
  Common initial clusters: ts-, tł-, sh-, zh-, hw-, dz-, gh-
  Common endings: -ʼ (glottal), -ł (lateral), -d, -zh, -s

Word-building patterns from name list:
  bi-    = his/her/its (possessive prefix — very common)
  shi-   = my (1st person prefix)
  ni-    = your (2nd person prefix)
  nihi-  = our/their (plural prefix)
  -go    = subordinate clause marker / manner suffix
  -di    = locative (at/in a place)
  -gi    = locative variant
  -íí    = nominalizer (the one that...)
  -ígíí  = relative nominalizer (that which...)
  naagháh = going around / traveling (movement root)
  hózhó  = beauty/harmony/balance (core cultural concept)

===================================================================================


241  | power          | aojah                    |
--- PATCH: 169 missing entries added to reach 500 ---
RANK  | ENGLISH        | TRANSLATION              |
------------------------------------------------------------
3     | to             | eis                      |
8     | that           | ét                       |
10    | it             | bił                      |
11    | for            | biniiyé                  |
19    | at             | di                       |
20    | this           | dii                      |
22    | his            | bił                      |
27    | say            | diits'a                  |
28    | her            | bił                      |
29    | she            | bił                      |
31    | an             | la                       |
34    | one            | la                       |
35    | all            | altso                    |
37    | there          | aadi                     |
39    | what           | haa                      |
46    | get            | nayiiłnih                |
48    | go             | iiʼííł                   |
49    | me             | shił                     |
50    | when           | hahgo                    |
55    | no             | dooda                    |
58    | know           | bééhózin                 |
61    | into           | góneʼ                    |
62    | year           | naaʼahóhai               |
64    | good           | nizhóní                  |
75    | come           | naaghá                   |
77    | over           | bikaʼgi                  |
79    | also           | altso                    |
80    | back           | nináánáʼ                 |
81    | after          | bizhiʼ                   |
82    | use            | bił naanish              |
87    | first          | ałtsé                    |
88    | well           | nizhónígo                |
94    | any            | łaʼ                      |
102   | need           | hólǫgo                   |
104   | often          | náánáʼ                   |
106   | high           | yaago                    |
108   | hold           | yiłtseed                 |
110   | never          | dooda aoo                |
112   | north          | náhookǫs                 |
114   | seem           | yishłééh                 |
116   | next           | ałniʼ                    |
119   | begin          | ałniʼgo                  |
129   | both           | naaki altso              |
134   | mile           | naagháhdi                |
142   | girl           | at'ééd                   |
147   | ever           | tʼáá                     |
152   | talk           | yáłti                    |
158   | direct         | atiin                    |
160   | leave          | yighááh                  |
162   | measure        | nitsaago                 |
169   | wind           | niyol                    |
194   | true           | ałtsé bééhózin           |
198   | remember       | yad                      |
211   | table          | tsinaabąąs               |
223   | pattern        | naaltsoos bił            |
225   | center         | ałniʼ                    |
227   | person         | diné                     |
230   | appear         | yilzhiiʼ                 |
231   | road           | atiin                    |
232   | map            | bee naagháhí             |
234   | rule           | nahatá                   |
236   | pull           | yiyiił                   |
238   | notice         | yiiltsą                  |
244   | drive          | niiłch'ił                |
245   | lead           | biʼdiilnish              |
246   | cry            | yicha                    |
249   | note           | hazhóʼógo                |
256   | field          | keʼéltséhí               |
257   | rest           | hózhóogo                 |
258   | correct        | bééhózin                 |
259   | able           | hólǫgo                   |
260   | pound          | naaldlooshii             |
262   | beauty         | nizhóní bił              |
264   | stood          | siʼą                     |
267   | teach          | nahałtin                 |
269   | final          | ałniʼ                    |
270   | gave           | yuramba                  |
271   | green          | tátłʼid                  |
272   | oh             | haʼáát'íí                |
275   | ocean          | tónteel                  |
278   | minute         | ałtsé ahéʼéłtį           |
279   | strong         | nitsaa                   |
280   | special        | nizhóní                  |
282   | clear          | łigai                    |
283   | tail           | bizhiʼ                   |
284   | produce        | ályaaígíí                |
286   | street         | atiin                    |
288   | lot            | łaʼ nitsaa               |
289   | nothing        | doo hólǫ da              |
291   | stay           | nizhóní hólǫ             |
293   | full           | yiłtsxiz                 |
295   | blue           | dootłʼizh                |
296   | object         | nitsaa baa               |
298   | surface        | bikaʼ                    |
300   | moon           | ooljééʼ                  |
302   | foot           | kéłchí                   |
304   | busy           | naanish bił              |
307   | boat           | tsin naagháhí            |
309   | gold           | óola                     |
310   | possible       | hólǫgo                   |
311   | plane          | niyolgo tsits'aa         |
314   | wonder         | nitsékees baa            |
317   | ago            | bizhiigo                 |
321   | shape          | ályaa                    |
324   | miss           | doo hólǫ                 |
325   | brought        | nayiiłnih past           |
326   | heat           | siłtso                   |
329   | bring          | nayiiłnih                |
330   | yes            | aoo                      |
331   | distant        | hazhóʼógo                |
333   | east           | haʼaʼaah                 |
337   | grand          | nitsaa                   |
342   | heart          | shijéí                   |
343   | am             | nishłį                   |
344   | present        | kǫǫ                      |
346   | dance          | nzhóní naagháh           |
349   | arm            | ibid                     |
350   | wide           | nteel                    |
351   | sail           | tónteel biił             |
354   | vary           | łaʼ yizhdiilzhaazh       |
355   | settle         | nizhóní hólǫ             |
357   | weight         | ndasdziiʼ                |
359   | ice            | tin                      |
362   | pair           | naaki                    |
364   | divide         | nahaneʼ                  |
365   | syllable       | bizaad łaʼ               |
369   | sudden         | tsxíłgo                  |
370   | count          | ałkéé                    |
372   | reason         | haa lá                   |
373   | length         | nineezgo                 |
377   | region         | kéyah                    |
378   | energy         | aojah                    |
380   | probable       | hólǫgo                   |
381   | bed            | dah asdząą               |
383   | egg            | ayęęzhii                 |
385   | cell           | djinba                   |
389   | sit            | siʼą                     |
390   | race           | jarysh                   |
396   | prove          | bił ałhosh               |
397   | lone           | łaʼ                      |
398   | leg            | jáád                     |
404   | sky            | yádiłhił                 |
406   | joy            | hózhó                    |
410   | wild           | chʼil biyaadi            |
411   | instrument     | bee naanishí             |
420   | past           | naagháhgo                |
421   | soft           | dił                      |
434   | strange        | łaʼ bił                  |
440   | meet           | ałhą́ą́ naagháh          |
444   | solve          | bił hózhó                |
446   | whether        | dishniigo                |
447   | push           | turt                     |
448   | seven          | tsostsʼid                |
458   | result         | ałtsé bił hólǫ           |
459   | burn           | kǫʼgo                    |
465   | type           | łaʼ ályaaígíí            |
468   | coast          | tónteel bikaʼ            |
471   | silent         | hózhóogo                 |
472   | tall           | nineez                   |
477   | finger         | shilá                    |
478   | industry       | naanish nitsaa           |
483   | excite         | yił ayóó                 |
484   | natural        | nahasdzáán bił           |
485   | view           | yiiltsą                  |
486   | sense          | shił hózhó               |
489   | quite          | tʼáá                     |
491   | case           | baa                      |
498   | loud           | nitsaaí diits'a          |
499   | spring         | dąąʼ                     |

END OF FILE — SylvarirumNavajo_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
