STONEGUARD TOLTEC-JAPANESE - 500 Common Word Translations
Fantasy Language based on StoneguardToltec name patterns
Linguistic roots: Pre-Aztec Toltec / early Nahuatl (9th-12th c.) primary
with Medieval-to-Meiji Japanese (12th-19th c.) secondary
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Toltec/early Nahuatl):
  Nahuatl: tl- cluster (characteristic), -tl (absolutive suffix),
  tetl (stone/rock), atl (water), tlitl (fire), tlalli (earth),
  ilhuicatl (sky), tonalpohualli (day-count/calendar), metztli (moon),
  citlalin (star), tlahtoa (speak), itta (see), yauh (go), huitz (come),
  mati (know), maca (give), cui (take), chichi (dog), coatl (serpent),
  quetzal (precious feather/bird), tolteca (master craftsperson),
  teotl (god/divine force), nahuatl (clear sound/language),
  ollin (movement), tonal (day-soul/spirit), calli (house),
  xochitl (flower), yolotl (heart), tlacatl (person/man),
  huey (great/big), qualli (good), nelli (true)

KEY SOURCE WORDS (Medieval-Meiji Japanese):
  wa/ware (I/me), nanji (you), kare (he), kanojo (she), wareware (we),
  to (and/with), ga (subject marker), no (of/possessive), ni (at/in),
  de (by/at), kara (from), made (until), mo (also/even), ka (question),
  aru (be/exist), suru (do), iku (go), kuru (come), miru (see),
  iu/yuu (say), shiru (know), ageru (give), toru (take), aruku (walk),
  hito (person), onna (woman), ko/kodomo (child), ou/kimi (king/lord),
  tsuchi (earth), hi (fire), mizu (water), sora (sky), hi (day),
  tsuki (moon), hoshi (star), oki (great), yoi (good), makoto (true)

PHONETIC BRIDGE STRATEGY:
  Nahuatl: tl- initial/final cluster, -tl absolutive, -lli/-lli-tl,
  open a/e/i/o vowels, compound words (noun+noun+tl)
  Japanese: CV open syllables, -shi/-chi/-tsu affricates, -ru verb ending,
  compound kanji-style stacking, honorific prefixes (o-, go-)
  Bridge: Both share open vowel syllables, CV structure, k/t/s sounds,
  compound word-building, and absence of consonant clusters (except Nahuatl tl-)
  Fantasy suffix system: -tli (noun, fr. Nahuatl absolutive -tl + -i),
  -yaru (verb, fr. Japanese -ru + Nahuatl ya-), -olli (adj/quality, fr.
  Nahuatl ollin = movement + Japanese -i adj ending), -tonal (spirit/place,
  fr. Nahuatl tonal = day-soul), -shi (secondary verb, fr. Japanese -shi adj)

===================================================================================
RANK | ENGLISH       | STONEGUARD              | ROOT / NOTES
353  | size          | hueyotonal              | Nah. hueyo (size/greatness) + -tonal
354  | vary          | xeliyaru                | Nah. xeli (to vary/divide) + -yaru
355  | settle        | tlaliayoshi             | Nah. tlalia (to settle/place) + Jpn. -yoshi
356  | speak         | tlahtoyaru              | same as talk
357  | weight        | eztonal                 | Nah. ez (weight/blood) + -tonal
358  | general       | mochicanolli            | Nah. mochican (general/always) + -olli
359  | ice           | ceyotli                 | Nah. ceyotl (ice/frost) + -i
360  | matter        | tlatolnolli             | Nah. tlatol (matter/speech) + -nolli
361  | circle        | malacachnolli           | Nah. malacach (circle/spiral) + -nolli
362  | pair          | ometonal                | Nah. ome (pair/two) + -tonal
363  | include       | calaquiyoshi            | Nah. calaquia (include/enter) + Jpn. -yoshi
364  | divide        | xeliyolli               | Nah. xeli (to divide) + -yolli
365  | syllable      | tlahtolnolli            | Nah. tlahtol (syllable/speech) + -nolli
366  | felt          | namicnolli              | Nah. namic (felt/met) + -nolli
367  | perhaps       | achinolli               | same as perhaps
368  | pick          | pepenayaru              | Nah. pepena (to pick/gather) + -yaru
369  | sudden        | zazanicanolli           | Nah. zazanica (sudden) + -nolli
370  | count         | pohuyaru                | Nah. pohua (to count) + -yaru
371  | square        | nahcampanotonal         | Nah. nahcampa (square/four-dir) + -tonal
372  | reason        | nenequinolli            | Nah. neneqi (reason/want) + -nolli
373  | length        | huecatonal              | Nah. hueca (length/distant) + -tonal
374  | represent     | ixiptlayaru             | Nah. ixiptla (to represent/image) + -yaru
375  | art           | toltecayotl             | Nah. toltecayotl (art/craft) + stylized
376  | subject       | tlatolnolli             | same as matter
377  | region        | tlalmilnolli            | Nah. tlalmil (region/farmland) + -nolli
378  | energy        | chicahuanolli           | same as strong
379  | hunt          | tlacuayaru              | Nah. tlacua (to hunt/eat) + -yaru
380  | probable      | huelnolli               | Nah. huel (probable/well) + -nolli
381  | bed           | petlatonal              | Nah. petlatl (bed/mat) + -tonal
382  | brother       | teiccanolli             | Nah. teicca (brother/sibling) + -nolli
383  | egg           | totoltlanolli           | Nah. totoltlan (egg/bird-place) + -nolli
384  | ride          | cuaitoyaru              | Nah. cuaito (to ride/go-head) + -yaru
385  | cell          | centlapalnolli          | Nah. centlapal (cell/one-side) + -nolli
386  | believe       | tlaneltocayaru          | same as decide/believe
387  | fraction      | tlaxelnolli             | Nah. tlaxel (fraction/division) + -nolli
388  | forest        | cuauhtlanolli           | Nah. cuauhtla (forest) + -nolli
389  | sit           | tlalliayaru             | Nah. tlallia (to sit/place) + -yaru
390  | race          | yaonolli                | Nah. yao (race/war-group) + -nolli
391  | window        | tlachialonolli          | Nah. tlachialon (window/look-thing) + -nolli
392  | store         | tianguiznolli           | Nah. tianguiz (store/market) + -nolli
393  | summer        | tonalnolli              | Nah. tonal (summer/sun) + -nolli
394  | train         | ohtlanolli              | Nah. ohtla (train/road-line) + -nolli
395  | sleep         | cochiyaru               | Nah. cochi (to sleep) + -yaru
396  | prove         | tlaneltocatonal         | Nah. tlaneltoca (prove/believe) + -tonal
397  | lone          | cemolli                 | Nah. cemo (lone/one) + -olli
398  | leg           | metznolli               | Nah. metz (leg/moon) + -nolli
399  | exercise      | mauizotonal             | Nah. mauizo (exercise/honor) + -tonal
400  | wall          | tenamitonal             | Nah. tenami (wall/fence) + -tonal
401  | catch         | nacazhuiyaru            | Nah. nacazhu (to catch) + -yaru
402  | mount         | tlecoyaru               | Nah. tleco (to mount/climb) + -yaru
403  | wish          | temachnolli             | Nah. temach (wish/teach) + -nolli
404  | sky           | ilhuicatonal            | Nah. ilhuicatl (sky) + -tonal
405  | board         | huapaltonal             | Nah. huapal (board/plank) + -tonal
406  | joy           | papaquiliztonal         | Nah. papaquiliz (joy) + -tonal
407  | winter        | cehualnolli             | Nah. cehual (winter/shade) + -nolli
408  | sat           | tlalinnolli             | Nah. tlali (sat/placed) + -nolli
409  | written       | tlahcuilolnolli         | Nah. tlahcuilol (written) + -nolli
410  | wild          | xolonolli               | Nah. xolo (wild/servant) + -nolli
411  | instrument    | tlatequinolli           | Nah. tlatequi (instrument/tool) + -nolli
412  | kept          | mopiannolli             | Nah. mopian (kept/self-kept) + -nolli
413  | glass         | tezcanolli              | Nah. tezca (glass/mirror) + -nolli
414  | grass         | zacatonal               | Nah. zacatl (grass) + -tonal
415  | cow           | cuahnolli               | Nah. cuah (horned/cow) + -nolli
416  | job           | tequitonal              | Nah. tequitl (job/tribute) + -tonal
417  | edge          | tenonolli               | Nah. tenon (edge/lip) + -olli
418  | sign          | machiyotonal            | same as pattern/sign
419  | visit         | caltiyaru               | Nah. calti (to visit/enter-house) + -yaru
420  | past          | ocyetonal               | Nah. ocye (past/already) + -tonal
421  | soft          | yamamanolli             | Nah. yamaman (soft) + -olli
422  | fun           | netotiliztli            | Nah. netotiliz (fun/dance) + -tli
423  | bright        | tlanextitli             | Nah. tlanexti (bright/light) + -tli
424  | gas           | ehecatonal              | Nah. ehecatl (gas/wind) + -tonal
425  | weather       | quiyahuittonal          | Nah. quiyahuitt (weather/rain) + -tonal
426  | month         | metztlitonal            | Nah. metztli (month/moon) + -tonal
427  | million       | tzontlinolli            | Nah. tzontli (great-count) + -nolli
428  | bear          | cuetlachnolli           | Nah. cuetlach (bear/wolf) + -nolli
429  | finish        | tzonquizayaru           | Nah. tzonquiza (to finish) + -yaru
430  | happy         | papaquiyoshi            | Nah. papaqi (happy/joy) + Jpn. -yoshi
431  | hope          | tlapaliyolli            | Nah. tlapalia (hope/grow) + -yolli
432  | flower        | xochitonal              | Nah. xochitl (flower) + -tonal
433  | clothe        | tlaquenolli             | Nah. tlaque (to clothe) + -nolli
434  | strange       | ixcuepanolli            | Nah. ixcuepa (strange/face-turn) + -nolli
435  | gone          | polihuinolli            | Nah. polihu (gone/perished) + -nolli
436  | jump          | choloyaru               | Nah. cholo (to jump/flee) + -yaru
437  | baby          | piltontonal             | Nah. pilton (baby/little-child) + -tonal
438  | eight         | chicueynolli            | Nah. chicuei (eight) + -nolli
439  | village       | calmilnolli             | Nah. calmil (village/house-field) + -nolli
440  | meet          | namiquiyaru             | Nah. namiqi (to meet) + -yaru
441  | root          | nelhuayotonal           | Nah. nelhuayo (root) + -tonal
442  | buy           | coayaru                 | Nah. coa (to buy) + -yaru
443  | raise         | quetzayaru              | Nah. quetza (to raise/stand) + -yaru
444  | solve         | tlaxtlahuayaru          | Nah. tlaxtlahua (to solve/pay) + -yaru
445  | metal         | tepoznolli              | Nah. tepoz (metal/copper) + -nolli
447  | push          | tlayanayaru             | Nah. tlayana (to push) + -yaru
448  | seven         | chicomenolli            | Nah. chicome (seven) + -nolli
449  | paragraph     | tlahcuilolnolli         | same as written (text-block)
450  | third         | excannolli              | Nah. excan (third/three-places) + -nolli
452  | held          | mopiannolli             | same as kept
453  | hair          | tzontliolli             | Nah. tzontli (hair/400) + -olli
454  | describe      | tlapohuayaru            | Nah. tlapohua (describe/count) + -yaru
455  | cook          | tlacuayoshi             | Nah. tlacua (to cook/eat) + Jpn. -yoshi
456  | floor         | tlalixnolli             | Nah. tlalix (floor/earth-face) + -nolli
458  | result        | tzonquizanolli          | Nah. tzonquiza (result/end) + -nolli
459  | burn          | tlecuiyaru              | Nah. tlecui (to burn/take fire) + -yaru
460  | hill          | tepetonal               | Nah. tepetl (hill/mountain) + -tonal
461  | safe          | mopiannolli             | same as kept/safe
462  | cat           | miztontonal             | Nah. miztontli (cat/small puma) + -tonal
463  | century       | cemxiuhnolli            | Nah. cemxihuit (century/one-year) + -nolli
464  | consider      | tlanequiyaru            | Nah. tlaneqi (consider/want) + -yaru
465  | type          | tlacanolli              | same as class
466  | law           | nahuatilnolli           | same as rule
467  | bit           | achinnolli              | Nah. achin (bit/little) + -nolli
468  | coast         | atentlitonal            | Nah. atentli (coast/water-edge) + -tonal
469  | copy          | ixcuepanolli            | Nah. ixcuepa (copy/face-turn) + -nolli
470  | phrase        | tlahtolnolli            | same as speech
471  | silent        | ixconolli               | Nah. ixco (silent/on-face) + -nolli
472  | tall          | hueynolli               | Nah. huey (tall/great) + -nolli
473  | sand          | xalnolli                | Nah. xalli (sand) + -nolli
474  | soil          | tlalnolli               | same as ground
475  | roll          | malaconolli             | Nah. malaco (to roll/spin) + -nolli
476  | temperature   | tonaltonal              | same as heat/sun
477  | finger        | mapilnolli              | Nah. mapil (finger) + -nolli
478  | industry      | tequitlanolli           | Nah. tequitla (industry/work) + -nolli
479  | value         | tlazonolli              | Nah. tlazo (value/dear) + -nolli
480  | fight         | yaoyaru                 | Nah. yao (to fight/war) + -yaru
481  | lie           | tlaztayoshi             | same as lay
482  | beat          | tepachoyaru             | Nah. tepacho (to beat/press) + -yaru
483  | excite        | teyolhuyaru             | Nah. teyolhu (to excite) + -yaru
484  | natural       | tlalticpatonal          | Nah. tlalticpa (natural/earthly) + -tonal
485  | view          | tlachialnolli           | Nah. tlachial (view/look) + -nolli
486  | sense         | namiquinolli            | Nah. namiqi (sense/meet) + -nolli
487  | ear           | nacaznolli              | Nah. nacaz (ear) + -nolli
491  | case          | tlacannolli             | same as position
492  | middle        | nepantlanolli           | Nah. nepantla (middle) + -nolli
493  | kill          | mictiyaru               | Nah. micti (to kill) + -yaru
494  | son           | pilnolli                | Nah. pilli (son/noble) + -nolli
495  | lake          | coatlatonal             | Nah. coatl+atl (lake/serpent-water) + -tonal
496  | moment        | cahuitonal              | same as hour
497  | scale         | tlamelanolli            | Nah. tlamela (scale/straight) + -nolli
498  | loud          | cencanolli              | Nah. cenca (loud/very) + -nolli
499  | spring        | xopannolli              | Nah. xopan (spring season) + -nolli
500  | observe       | tlachiyaru              | Nah. tlachi (to observe/look) + -yaru

===================================================================================
PHONETIC GUIDE FOR STONEGUARD
===================================================================================

Pre-Aztec Toltec / Early Nahuatl sounds:
  tl  = lateral affricate (unique to Nahuatl — blow through tl simultaneously)
  tz  = voiceless affricate (as in "cats")
  hu  = labiovelar (as in "w" before vowels: huey = "wey")
  qu  = /k/ before e/i (qualli = "kwalli")
  x   = /sh/ sound (xochitl = "shochitl")
  ch  = /ch/ (chichi = "chichi")
  Absolutive suffix -tl/-tli (all free nouns take this — core feature)

Medieval-Meiji Japanese sounds adding texture:
  shi = /ʃi/ (voiceless palatal + i)
  chi = /tʃi/ (palatal affricate + i)
  tsu = /tsɯ/ (dental affricate + back vowel)
  -ru = verb infinitive (plain form)
  -yoshi = positive quality (good/worthy — fr. yoshi = good/ready)
  Compound stacking: noun + noun + -tl mirrors Japanese kanji compounding

Key attested Nahuatl words used:
  tletl (fire), tetl (stone), atl (water), tlalli (earth), ehecatl (wind),
  metztli (moon), citlalin (star), tlatoani (ruler/king), ohtli (road),
  cuicatl (song/music), amatl (paper), tequitl (work), yaoyotl (war),
  xochitl (flower), altepetl (city), tlacatl (person), quiahuitl (rain),
  cuauhtla (forest), xopan (spring), zacatl (grass), maitl (hand),
  icxitl (foot), nacaz (ear), pilhuan (children), toltecayotl (art/craft)

Stoneguard suffix system:
  -tli  = primary noun (absolutive — all free nouns) fr. Nahuatl -tl
  -nolli = secondary noun (compound/derived things)
  -olli  = adjective/quality (fr. Nahuatl ollin = movement)
  -tonal = place/spirit noun (fr. Nahuatl tonal = day-soul)
  -yaru  = primary verb ending (action) fr. Jpn. -ru + Nah. ya-
  -yoshi = secondary verb/adj (positive quality) fr. Jpn. yoshi
  -yolli = intensive noun (inner/heart quality) fr. Nah. yollo = heart

Japanese bridge words appearing in Stoneguard:
  -yoshi (good/worthy), -shi (adj ending), -yaru (do/give),
  quallioshi (good), tonalyoshi (warm), hueliyoshi (possible)
  These appear where Nahuatl roots meet Japanese verb/adj structures

===================================================================================
END OF FILE — StoneguardToltec_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
