GORIRUM PERSIAN-PARTHIAN - 500 Common Word Translations
Fantasy Language based on GorirumPersian-Parthian name patterns
Linguistic roots: Broad blend of Old Persian (Achaemenid, 6th-4th c. BC),
Parthian/Arsacid (3rd c. BC - 3rd c. AD), and Middle Persian/Pahlavi (3rd-7th c. AD)
Equal Persian/Parthian weighting. Stylization: Fantasy-leaning.

KEY SOURCE WORDS:
  Old Persian (OP): adam (I), tuvam (you), hauv (he/she), vayam (we),
  hya/tyā (who/which/that), utā (and), naiy (not), patiy (on/at),
  hacā (from), abiy (to/toward), yadiy (if), avahyā (of that),
  ahy (be/is), akunauš (did/made), adā (gave), aθangaina (strong),
  baga (god/divine), arta (truth/order), druj (lie/chaos), xšāyaθiya (king),
  kāra (people/army), būmi (earth), āp (water), ātar (fire), asman (sky),
  raucah (light/day), māha (moon), star (star), xšnuta (satisfied/good),
  Parthian: man (I/me), to (you), ō (he/she), amāh (we), šmāh (you pl.),
  ud (and), nē (not), pad (at/in), az (from), ō (to), agar (if),
  būdan (to be), kardan (to do), didan (to see), guftan (to say),
  dānistan (to know), dādan (to give), raftan (to go), āmadan (to come),
  mard (man), zan (woman), pus (son), šāh (king), xalq (people),
  zamin (earth), āb (water), ātaš (fire), āsmān (sky), rōz (day),
  māh (moon), sitāra (star), buzurg (great), nēk (good), rāst (true)
  Middle Persian/Pahlavi: ān (that/the), ēn (this), ī (of/relative),
  u (and), nē (not), pad (at/in), az (from/of), ō (to),
  būdan (be), kardan (do), widan (see), gōwišn (speech), dānāgīh (knowledge)

PHONETIC BRIDGE STRATEGY:
  All three share: open a/ā vowels, x/kh fricatives, sh/š sounds,
  r liquids, n/m nasals, -an/-ān noun endings, -ar/-ar suffixes
  Old Persian: formal -aiy/-ahy endings, consonant clusters (xš, θr),
  Parthian: simpler CV structure, -ag/-ag endings, more open vowels
  Middle Persian: -ēd verb endings, ī genitive, -išn abstract nouns
  Fantasy suffix system: -avar (noun/being, fr. OP/MP -avar = possessing),
  -shan (verb, fr. MP -išn abstract + Parth. -an infinitive),
  -druj (negative/dark quality, fr. OP druj = lie/chaos),
  -arta (truth/order quality, fr. OP arta), -rōz (day/light word),
  -mah (moon/great word, fr. OP māha + Parth. māh)

===================================================================================
RANK | ENGLISH       | GORIRUM                 | ROOT / NOTES
383  | egg           | toxmavar                | Parth. toxm (egg/seed) + -avar
384  | ride          | savārīdanshan           | Parth. savārī (to ride) + -shan
385  | cell          | yāxteavar               | Parth. yāxte (cell) + -avar
386  | believe       | bāvaravar               | Parth. bāvar (believe) + -avar
387  | fraction      | kasravar                | Parth. kasr (fraction) + -avar
388  | forest        | jangalavar              | Parth. jangal (forest) + -avar
389  | sit           | nešastanshan            | Parth. nešastan (to sit) + -shan
390  | race          | nežādavar               | Parth. nežād (race/lineage) + -avar
391  | window        | panjareavar             | Parth. panjare (window) + -avar
392  | store         | foršgāhavar             | Parth. foršgāh (store) + -avar
393  | summer        | tābastānavar            | Parth. tābastān (summer) + -avar
394  | train         | qatāreavar              | Parth. qatār (train/row) + -eavar
395  | sleep         | xābīdanshan             | Parth. xābīdan (to sleep) + -shan
396  | prove         | esbātavar               | Parth. esbāt (prove) + -avar
397  | lone          | tanhaavar               | same as only/alone
398  | leg           | pāyavar                 | same as foot
399  | exercise      | varzešavar              | Parth. varzeš (exercise) + -avar
400  | wall          | dīvāravar               | Parth. dīvār (wall) + -avar
401  | catch         | gerefanshan             | Parth. gerefan (to catch) + -shan
402  | mount         | bālāraftanshan          | Parth. bālā raftan (mount) + -shan
403  | wish          | ārzūavar                | Parth. ārzū (wish) + -avar
404  | sky           | asmanavar               | OP asman (sky) + -avar
405  | board         | taxteavar               | Parth. taxte (board) + -avar
406  | joy           | šādīavar                | Parth. šādī (joy) + -avar
407  | winter        | zemestānavar            | Parth. zemestān (winter) + -avar
408  | sat           | nešasteavar             | Parth. nešaste (sat) + -avar
409  | written       | nevešteavar             | Parth. nevešte (written) + -avar
410  | wild          | vahšīavar               | Parth. vahšī (wild) + -avar
411  | instrument    | āletavar                | Parth. ālet (instrument) + -avar
412  | kept          | negāhdāštavar           | Parth. negāhdāšt (kept) + -avar
413  | glass         | šīšeavar                | Parth. šīše (glass) + -avar
414  | grass         | čamanavar               | Parth. čaman (grass/meadow) + -avar
415  | cow           | gāvavar                 | Parth. gāv (cow) + -avar
416  | job           | kāravar                 | same as work
417  | edge          | lababavar               | Parth. labab (edge/lip) + -avar
418  | sign          | nišānavar               | same as mark
419  | visit         | dīdanshan               | same as see/visit
420  | past          | gozašteavar             | Parth. gozašte (past) + -avar
421  | soft          | narmavar                | Parth. narm (soft) + -avar
422  | fun           | xošīavar                | Parth. xošī (fun/joy) + -avar
423  | bright        | deraxšānavar            | Parth. deraxšān (bright) + -avar
424  | gas           | gazavar                 | Parth. gaz (gas) + -avar
425  | weather       | havāavar                | Parth. havā (weather/air) + -avar
426  | month         | māhavar                 | same as moon (month/moon share māh)
427  | million       | melyonavar              | Parth. melyōn (million) + -avar
428  | bear          | xersavar                | Parth. xers (bear) + -avar
429  | finish        | tamāmavar               | Parth. tamām (finish/complete) + -avar
430  | happy         | šādavar                 | Parth. šād (happy) + -avar
431  | hope          | omīdavar                | Parth. omīd (hope) + -avar
432  | flower        | gūlavar                 | Parth. gūl (flower/rose) + -avar
433  | clothe        | pūšīdanshan             | Parth. pūšīdan (to clothe) + -shan
434  | strange       | gharībavar              | Parth. gharīb (strange) + -avar
435  | gone          | raftavar                | Parth. raft (gone) + -avar
436  | jump          | jastandanshan           | Parth. jastan (to jump) + -shan
437  | baby          | nowzādavar              | Parth. nowzād (baby) + -avar
438  | eight         | haštavar                | Parth. hašt (eight) + -avar
439  | village       | dehavar                 | Parth. deh (village) + -avar
440  | meet          | molāqātavar             | Parth. molāqāt (meet) + -avar
441  | root          | rīšeavar                | Parth. rīše (root) + -avar
442  | buy           | xarīdanshan             | Parth. xarīdan (to buy) + -shan
443  | raise         | balandavar              | Parth. baland (raise/high) + -avar
444  | solve         | hallavar                | Parth. hall (solve) + -avar
445  | metal         | felezavar               | Parth. felez (metal) + -avar
447  | push          | hol dādanshan           | Parth. hol dādan (push) + -shan
448  | seven         | haftavar                | Parth. haft (seven) + -avar
449  | paragraph     | bandavar                | Parth. band (paragraph/section) + -avar
450  | third         | sevomavar               | Parth. sevom (third) + -avar
452  | held          | dāštavar                | Parth. dāšt (held) + -avar
453  | hair          | mūavar                  | Parth. mū (hair) + -avar
454  | describe      | tawsīfavar              | Parth. tawsīf (describe) + -avar
455  | cook          | poxtan shan             | Parth. poxtan (to cook) + -shan
456  | floor         | kfavar                  | Parth. kaf (floor/palm) + -avar
458  | result        | natījeavar              | Parth. natīje (result) + -avar
459  | burn          | sūxtanshan              | Parth. sūxtan (to burn) + -shan
460  | hill          | tapalavar               | Parth. tapal (hill/mound) + -avar
461  | safe          | emānavar                | Parth. emān (safe/peace) + -avar
462  | cat           | gorbeavar               | Parth. gorbe (cat) + -avar
463  | century       | sadeavar                | Parth. sade (century) + -avar
464  | consider      | mālāndanshan            | Parth. mālāndan (consider) + -shan
465  | type          | nowʿavar                | Parth. nowʿ (type/kind) + -avar
466  | law           | qānūnavar               | same as rule
467  | bit           | kameavar                | Parth. kame (bit/little) + -avar
468  | coast         | sāhelavar               | Parth. sāhel (coast) + -avar
469  | copy          | nosxeavar               | Parth. nosxe (copy) + -avar
470  | phrase        | jomlavar                | Parth. jomle (phrase) + -avar
471  | silent        | sākestavar              | Parth. sākest (silent) + -avar
472  | tall          | bolandavar              | Parth. boland (tall) + -avar
473  | sand          | šenavar                 | Parth. šen (sand) + -avar
474  | soil          | xākavar                 | Parth. xāk (soil/dust) + -avar
475  | roll          | qaltīdanshan            | Parth. qaltīdan (to roll) + -shan
476  | temperature   | darmāavar               | Parth. darmā (temperature) + -avar
477  | finger        | angoštar                | Parth. angošt (finger) + -ar
478  | industry      | sanʿatavar              | Parth. sanʿat (industry) + -avar
479  | value         | arzešavar               | Parth. arzeš (value) + -avar
480  | fight         | jangīdanshan            | Parth. jangīdan (to fight) + -shan
481  | lie           | drazīdanshan            | Parth. drazīdan (to lie down) + -shan
482  | beat          | zadadanshan             | Parth. zadan (to beat) + -shan
483  | excite        | hayajānavar             | Parth. hayajān (excite) + -avar
484  | natural       | ṭabīʿīavar              | Parth. ṭabīʿī (natural) + -avar
485  | view          | nazaravar               | Parth. nazar (view) + -avar
486  | sense         | hesavar                 | Parth. hes (sense/feeling) + -avar
487  | ear           | gūšavar                 | Parth. gūš (ear) + -avar
491  | case          | mājerāavar              | Parth. mājerā (case/event) + -avar
492  | middle        | miyāneavar              | Parth. miyāne (middle) + -avar
493  | kill          | koštanshan              | Parth. koštan (to kill) + -shan
494  | son           | pusavar                 | Parth. pus (son) + -avar
495  | lake          | daryācheavar            | Parth. daryāče (lake) + -avar
496  | moment        | lahzeavar               | Parth. lahze (moment) + -avar
497  | scale         | tarazūavar              | Parth. tarazū (scale/balance) + -avar
498  | loud          | boluandavar             | Parth. boluand (loud) + -avar
499  | spring        | bahāravar               | Parth. bahār (spring) + -avar
500  | observe       | mošāhedavar             | Parth. mošāhede (observe) + -avar

===================================================================================
PHONETIC GUIDE FOR GORIRUM
===================================================================================

Old Persian sounds (Achaemenid inscriptions):
  x   = voiceless velar fricative (as in Scots "loch")
  xš  = cluster (as in "xšāyaθiya" = king/shah)
  θ   = voiceless dental fricative (as in "thin")
  ā   = long open back vowel
  Formal, inscriptional register — every syllable deliberate

Parthian/Arsacid sounds:
  γ   = voiced velar fricative (softer than g)
  š   = voiceless palatal fricative (as in "shoe")
  č   = voiceless palatal affricate (as in "church")
  ž   = voiced palatal fricative (as in "measure")
  More conversational than OP — warrior-court register

Middle Persian/Pahlavi sounds:
  ē   = front mid vowel (as in "they")
  ō   = back mid rounded vowel
  ī   = front high vowel (long)
  -išn = abstract noun suffix (gōwišn = speech, dānāgīh = knowledge)
  ī   = relative/genitive particle (very characteristic)

Key attested words used across eras:
  OP: adam (I), utā (and), naiy (not), arta (truth), baga (god),
  xšāyaθiya (king), haruva (all), asman (sky), ātar (fire), star (star)
  Parth: nēk (good), rāst (true/straight), buzurg (great), māh (moon),
  daryā (sea), āzād (free), bahār (spring), šāh (king), del (heart)
  MP: ān (that), ēn (this), ī (of), hamče (also), ēdōn (thus)

Gorirum suffix system:
  -avar  = primary noun/adjective ending (fr. OP/MP -avar = possessing)
  -shan  = verb ending (fr. MP -išn + Parth. -an infinitive)
  -tavar = elevated/royal noun (compound intensity)
  -mavar = feminine/personal pronoun form
  -rtavar = superlative/highest form
  -druj  = negative quality (fr. OP druj = lie/chaos — used sparingly)
  -arta  = truth/order quality (fr. OP arta — used for positive absolutes)
  -rōz   = day/light word (fr. Parth. rōz)
  -mah   = moon/great word (fr. OP māha + Parth. māh)

===================================================================================
END OF FILE — GorirumPersianParthian_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
