ASHIRUM ICELANDIC - 500 Common Word Translations
Fantasy Language based on AshirumIcelandic name patterns
Linguistic roots: Old Norse (8th-13th c.) + Modern Icelandic blend
Attested Old Norse and Icelandic words used where possible; constructed fill
follows Norse phonotactics.

KEY SOURCE WORDS:
  Old Norse: maðr (man), kona (woman), barn (child), land (land), vatn (water),
  eldr (fire), himinn (sky), jörð (earth), dagr (day), nótt (night), veðr (weather),
  vegr (way/road), fara (to go), vera (to be), gefa (to give), taka (to take),
  sjá (to see), segja (to say), vita (to know), vilja (to want), ganga (to walk),
  koma (to come), standa (to stand), hafa (to have), gera (to do/make),
  mikill (great/large), góðr (good), gamall (old), ungr (young), sterkr (strong)

  Modern Icelandic: já (yes), nei (no), og (and), en (but), af (of/from),
  með (with), við (at/by), til (to/until), um (about), frá (from),
  fara (to go), vera (to be), gera (to do), sjá (to see), tala (to talk),
  stór (large), lítill (small), góður (good), fallegur (beautiful), sterkur (strong)

NOTE: Ashirum blends the harder consonants of Old Norse (ð, þ, kv, sk, str, gr)
with the melodic vowel shifts of Modern Icelandic (au, ei, ó, æ, ö).
Name list patterns: Eld-Borg, Eld-Fell, Gjall-Borg, Krafla-Dal, Raud-Fell,
Skall-Borg, Sur-Fell, Surtsey, Hekla, Grimr, Skarphedin — favour hard
consonant-initial stems with -r endings and compound structures.

===================================================================================
RANK | ENGLISH       | ASHIRUM ICELANDIC       | OLD NORSE / ICELANDIC ROOT / NOTES
79    | also           | ok svá                   |
80    | back           | aftur                    |
81    | after          | eptir                    |
82    | use            | nota                     |
87    | first          | fyrst                    |
88    | well           | vel                      |
94    | any            | nokkurr                  |
102   | need           | þurfa                    |
104   | often          | oft                      |
106   | high           | hár                      |
108   | hold           | halda                    |
110   | never          | aldrei                   |
112   | north          | norðr                    |
114   | seem           | þykkja                   |
116   | next           | næstur                   |
119   | begin          | hefja                    |
129   | both           | báðir                    |
134   | mile           | mílur                    |
142   | girl           | stúlka                   |
147   | ever           | jafnan                   |
152   | talk           | tala                     |
158   | direct         | beinlínis                |
160   | leave          | fara                     |
162   | measure        | mæla                     |
169   | wind           | vindr                    |
194   | true           | sannr                    |
198   | remember       | muna                     |
211   | table          | borð                     |
223   | pattern        | mynstur                  |
225   | center         | miðja                    |
227   | person         | maðr                     |
230   | appear         | birtast                  |
231   | road           | vegr                     |
232   | map            | kart                     |
234   | rule           | ráða                     |
236   | pull           | draga                    |
238   | notice         | taka eftir               |
244   | drive          | keyra                    |
245   | lead           | leiða                    |
246   | cry            | gráta                    |
249   | note           | minnismiði               |
256   | field          | völlr                    |
257   | rest           | hvíld                    |
258   | correct        | réttr                    |
259   | able           | fær                      |
260   | pound          | pund                     |
262   | beauty         | fegurð                   |
264   | stood          | stóð                     |
267   | teach          | kenna                    |
269   | final          | síðastur                 |
270   | gave           | gaf                      |
271   | green          | grænn                    |
272   | oh             | ó                        |
275   | ocean          | haf                      |
278   | minute         | mínúta                   |
279   | strong         | sterkr                   |
280   | special        | sérstakur                |
282   | clear          | skær                     |
283   | tail           | hali                     |
284   | produce        | framleiða                |
286   | street         | gata                     |
288   | lot            | mikið                    |
289   | nothing        | ekkert                   |
291   | stay           | dvelja                   |
293   | full           | fullr                    |
295   | blue           | blár                     |
296   | object         | hlutur                   |
298   | surface        | yfirborð                 |
300   | moon           | máni                     |
302   | foot           | fótr                     |
304   | busy           | upptekin                 |
307   | boat           | bátr                     |
309   | gold           | gull                     |
310   | possible       | mögulegt                 |
311   | plane          | flugvél                  |
314   | wonder         | undra                    |
317   | ago            | fyrir                    |
321   | shape          | lögun                    |
324   | miss           | sakna                    |
325   | brought        | flutti                   |
326   | heat           | hiti                     |
329   | bring          | færa                     |
330   | yes            | já                       |
331   | distant        | fjarlægur                |
333   | east           | austr                    |
337   | grand          | stórr                    |
342   | heart          | hjarta                   |
343   | am             | er                       |
344   | present        | nútíma                   |
346   | dance          | dansa                    |
349   | arm            | armr                     |
350   | wide           | víðr                     |
351   | sail           | sigla                    |
354   | vary           | breyta                   |
355   | settle         | setjast                  |
357   | weight         | þyngd                    |
359   | ice            | ís                       |
362   | pair           | par                      |
364   | divide         | skipta                   |
365   | syllable       | atkvæði                  |
369   | sudden         | skyndilegt               |
370   | count          | telja                    |
372   | reason         | ástæða                   |
373   | length         | lengd                    |
377   | region         | héraðr                   |
378   | energy         | orka                     |
380   | probable       | líklegt                  |
381   | bed            | rúm                      |
383   | egg            | egg                      |
385   | cell           | fruma                    |
389   | sit            | sitja                    |
390   | race           | kynþáttr                 |
396   | prove          | sanna                    |
397   | lone           | einstakur                |
398   | leg            | leggr                    |
404   | sky            | himinn                   |
406   | joy            | gleði                    |
410   | wild           | villtr                   |
411   | instrument     | tól                      |
420   | past           | liðinn                   |
421   | soft           | mjúkr                    |
434   | strange        | undarlegur               |
440   | meet           | mæta                     |
444   | solve          | leysa                    |
446   | whether        | hvort                    |
447   | push           | ýta                      |
448   | seven          | sjau                     |
458   | result         | niðurstaða               |
459   | burn           | brenna                   |
465   | type           | tegund                   |
468   | coast          | strönd                   |
471   | silent         | þögull                   |
472   | tall           | hár                      |
477   | finger         | fingr                    |
478   | industry       | iðnaðr                   |
483   | excite         | æsa                      |
484   | natural        | náttúrulegur             |
485   | view           | útsýni                   |
486   | sense          | skilningr                |
489   | quite          | alveg                    |
491   | case           | mál                      |
498   | loud           | háværr                   |
499   | spring         | vor                      |

END OF FILE — AshirumIcelandic_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
