NAUKIN MONGOLIAN-AKKADIAN - 500 Common Word Translations
Fantasy Language based on NaukinMongolian-Akadian name patterns
Linguistic roots: Middle Mongolian (Secret History era, 13th c.) primary
with Old Akkadian (Sargonic, 2300-2150 BC) and Old Babylonian (1900-1600 BC) blend
Stylization: Fantasy-leaning, consistent feel prioritized.

KEY SOURCE WORDS (Middle Mongolian, Secret History):
  tere (he/that), ene (this/he), bi (I/me), ta (you), bide (we),
  ba (and/also), bol (be/become), ügei (not), -yin/-un (of/genitive),
  -tur/-dür (at/in/dative), -aca/-ece (from/ablative),
  yeke (great/big), sain (good), ünen (true), qamuγ (all),
  γajar (earth/place), usun (water), γal (fire), tenggeri (sky/heaven),
  edür (day), sara (moon), odun (star), öni (night),
  kümün (person/man), eme (woman), köbegün (son/boy), noyan (lord/general),
  qaγan (khan/ruler), irgen (people/nation), mori (horse), noqai (dog),
  gazar (land), uul (mountain), mören (river), oi (forest),
  yabumu (go), iremu (come), üjeму (see), keleму (say), mededeму (know)

KEY SOURCE WORDS (Akkadian, mixed era):
  šu (he/this), šī (she), anāku (I), atta (you), nīnu (we),
  u (and), lā (not), ina (in/at), ana (to/for), ištu (from),
  itti (with), eli (over/upon), warki (after/behind),
  awīlum (man/person), sinništum (woman), mārum (son), šarrum (king),
  erṣetum (earth), nārum (river), mûm (water), išātum (fire),
  šamû (sky/heaven), ūmum (day), warḫum (month), kakkabum (star),
  rabûm (great/big), ṭābum (good), kīnum (true/firm), kalûm (all),
  alākum (go), erēbum (enter), amārum (see), qabûm (say), idûm (know)

PHONETIC BRIDGE STRATEGY:
  Mongolian: vowel harmony (back: a/o/u vs front: e/ö/ü), agglutinative suffixes,
  hard stops q/γ, retroflex sounds, -n endings on nouns
  Akkadian: emphatic consonants (ṭ/ṣ/q), short vowels, CVC roots,
  case endings (-um nominative, -am accusative, -im genitive)
  Bridge: Both share short punchy syllables, k/q stops, n/m endings,
  open a/u vowels, agglutinative word-building
  Fantasy suffix system: -un (noun, fr. Mong. -un genitive repurposed as noun marker),
  -anu (verb, fr. Akk. -ānum infinitive), -qan (adjective/great, fr. Mong. qaγan),
  -tur (locative/place, fr. Mong. -tur dative), -bul (collective, fr. Mong. bol)

===================================================================================
RANK | ENGLISH       | NAUKIN                  | ROOT / NOTES
374  | represent     | tölöölqanu              | Mong. tölööl (to represent) + -qanu
375  | art           | urlagqan                | Mong. urlag (art) + -qan
376  | subject       | sэdэвqan                | Mong. sэdэв (subject) + -qan
377  | region        | γajarturqan             | same as area
378  | energy        | enerqitur               | Mong. enerqi (energy) + -tur
379  | hunt          | angqanu                 | Mong. ang (to hunt) + -qanu
380  | probable      | boloqciturqan           | Mong. boloqci (probable) + -turqan
381  | bed           | ortur                   | Mong. or (bed) + -tur
382  | brother       | degüütur                | Mong. degüü (brother) + -tur
383  | egg           | öndögeun                | Mong. öndöge (egg) + -un
384  | ride          | unaqanu                 | Mong. una (to ride) + -qanu
385  | cell          | eseqan                  | Mong. ese (cell/unit) + -qan
386  | believe       | itgequnu                | Mong. itge (to believe) + -qunu
387  | fraction      | quvaariqan              | Mong. quvaari (fraction) + -qan
388  | forest        | oiturqan                | Mong. oi (forest) + -turqan
389  | sit           | suuqanu                 | Mong. suu (to sit) + -qanu
390  | race          | uralduqan               | Mong. uraidu (race) + -qan
391  | window        | cöneuntur               | Mong. cöne (window) + -untur
392  | store         | delgüürqan              | Mong. delgüür (store) + -qan
393  | summer        | zungqan                 | Mong. zun (summer) + -qan
394  | train         | galtergeun              | Mong. γal+terge (fire-cart/train) + -un
395  | sleep         | untaqanu                | Mong. unta (to sleep) + -qanu
396  | prove         | notkoqunu               | Mong. notko (to prove) + -qunu
397  | lone          | gantsabul               | Mong. gantsa (lone/alone) + -bul
398  | leg           | kölinqan                | Mong. kölin (leg/foot) + -qan
399  | exercise      | damjilaγaqanu           | Mong. damjilaγa (exercise) + -qanu
400  | wall          | khanaatur               | Mong. khan+atur (wall/enclosure) + -tur
401  | catch         | bariqanutur             | Mong. bari (to catch/hold) + -qanutur
402  | mount         | garqanu                 | Mong. γar (to mount/go up) + -qanu
403  | wish          | hüseltqan               | Mong. hüselt (wish) + -qan
404  | sky           | tenggeriqan             | Mong. tenggeri (sky) + -qan
405  | board         | sambarqan               | Mong. sambar (board) + -qan
406  | joy           | bayarqan                | Mong. bayar (joy) + -qan
407  | winter        | övöltur                 | Mong. övöl (winter) + -tur
408  | sat           | suuqanul                | Mong. suu (sat) + -qanul
409  | written       | biciqanul               | Mong. bici (written) + -qanul
410  | wild          | zerlequn                | Mong. zerle (wild) + -qun
411  | instrument    | bagajqan                | Mong. bagaj (instrument) + -qan
412  | kept          | barivalbul              | Mong. barival (kept) + -bul
413  | glass         | šakuttumqan             | Akk. šakuttum (glass/alabaster) + Mong. -qan
414  | grass         | övsürqan                | Mong. övsür (grass) + -qan
415  | cow           | üneeqan                 | Mong. ünee (cow) + -qan
416  | job           | ajiltur                 | Mong. ajil (job/work) + -tur
417  | edge          | ireturqan               | Mong. ire (edge/blade) + -turqan
418  | sign          | temdeqanqan             | Mong. temde (sign/mark) + -qanqan
419  | visit         | ochiqanu                | Mong. ochi (to visit/go) + -qanu
420  | past          | önggersntur             | Mong. önggers (past) + -ntur
421  | soft          | zoölenqan               | Mong. zoölen (soft) + -qan
422  | fun           | naadamqan               | Mong. naadam (fun/game) + -qan
423  | bright        | giyalqan                | Mong. giyal (bright/shining) + -qan
424  | gas           | hutqan                  | Mong. hut (gas/air) + -qan
425  | weather       | caγ agaarqan            | Mong. caγ+agaar (weather/time-air) + -qan
426  | month         | saraqantur              | Mong. sara (month/moon) + -qantur
427  | million       | sayatur                 | Mong. saya (million) + -tur
428  | bear          | baavgaiqan              | Mong. baavgai (bear) + -qan
429  | finish        | tegusequnu              | Mong. teguse (to finish) + -qunu
430  | happy         | bayarturqan             | Mong. bayar (happy/joy) + -turqan
431  | hope          | naidvarqan              | Mong. naidvar (hope) + -qan
432  | flower        | cecegtur                | Mong. ceceg (flower) + -tur
433  | clothe        | ömsöqanu                | Mong. ömsö (to clothe) + -qanu
434  | strange       | sonirholttur            | Mong. sonirhole (strange) + -ttur
435  | gone          | yavaqanul               | Mong. yava (gone) + -qanul
436  | jump          | üsreqanu                | Mong. üsre (to jump) + -qanu
437  | baby          | nylхеqan                | Mong. nylхе (baby) + -qan
438  | eight         | naimaqan                | Mong. naiman (eight) + -qan
439  | village       | tosgontur               | Mong. tosgon (village) + -tur
440  | meet          | uchraqanu               | Mong. uchra (to meet) + -qanu
441  | root          | ündesnqan               | Mong. ündesn (root) + -qan
442  | buy           | avaqanu                 | Mong. ava (to buy/take) + -qanu
443  | raise         | örgöqanu                | Mong. örgö (to raise) + -qanu
444  | solve         | šûlumqanu               | Akk. šûlum (to solve) + Mong. -qanu
445  | metal         | metalqan                | Mong. metal + -qan
447  | push          | tülkiqanu               | Mong. tülki (to push) + -qanu
448  | seven         | doloonqan               | Mong. doloon (seven) + -qan
449  | paragraph     | zürvasqan               | Mong. zürvas (paragraph) + -qan
450  | third         | γurbaqlwi               | Mong. γurba (third/three) + -qlwi
452  | held          | bariγdaqanul            | Mong. bariγda (held) + -qanul
453  | hair          | üsüntur                 | Mong. üsün (hair) + -tur
454  | describe      | taylbarqanu             | Mong. taylbar (to describe) + -qanu
455  | cook          | chanaγaqanu             | Mong. chanaγa (to cook) + -qanu
456  | floor         | šerbumqan               | Akk. šerbum (floor/mat) + Mong. -qan
458  | result        | ürlqan                  | Mong. ürl (result) + -qan
459  | burn          | šaraqanu                | Mong. šara (to burn) + -qanu
460  | hill          | tolgointur              | Mong. tolgoin (hill) + -tur
461  | safe          | amgalanqan              | Mong. amgalan (safe/peaceful) + -qan
462  | cat           | muuqan                  | Mong. muu (cat) + -qan
463  | century       | zuunqan                 | Mong. zuun (century/hundred) + -qan
464  | consider      | bodoqantur              | Mong. bodo (to consider) + -qantur
465  | type          | törlqan                 | Mong. törl (type/kind) + -qan
466  | law           | huuliqan                | Mong. huuli (law) + -qan
467  | bit           | jiiqan                  | Mong. jii (bit/small) + -qan
468  | coast         | ereqtur                 | Mong. ereq (coast/shore) + -tur
469  | copy          | huwilbarttur            | Mong. huwilbar (copy) + -ttur
470  | phrase        | ügeqantur               | Mong. üge (phrase/word) + -qantur
471  | silent        | duulisqantur            | Mong. duulis (silent) + -qantur
472  | tall          | öndürturqan             | Mong. öndür (tall/high) + -turqan
473  | sand          | elsentur                | Mong. elsen (sand) + -tur
474  | soil          | γajarunqan              | Mong. γajar (soil/earth) + -unqan
475  | roll          | ergiqantur              | Mong. ergi (to roll/turn) + -qantur
476  | temperature   | dullumqan               | Akk. dullum (temperature) + Mong. -qan
477  | finger        | horuubul                | Mong. horuu (finger) + -bul
478  | industry      | üilduverqan             | Mong. üilduver (industry) + -qan
479  | value         | üneqan                  | Mong. üne (value) + -qan
480  | fight         | tuulaldaqanu            | Mong. tuulalda (to fight) + -qanu
481  | lie           | qataqantur              | Mong. qata (to lie/lay) + -qantur
482  | beat          | tsohiqanu               | Mong. tsohi (to beat) + -qanu
483  | excite        | sэtgэlqanu              | Mong. sэtgэl (to excite/feel) + -qanu
484  | natural       | baishinqan              | Mong. baishin (natural) + -qan
485  | view          | üjemjqan                | Mong. üjemj (view) + -qan
486  | sense         | mэdрэмjqan              | Mong. mэдрэмж (sense) + -qan
487  | ear           | chihitur                | Mong. chihi (ear) + -tur
491  | case          | baidalbultur            | Mong. baidal (case/state) + -bultur
492  | middle        | durundturqan            | Mong. dururnd (middle) + -turqan
493  | kill          | alaqanu                 | Mong. ala (to kill) + -qanu
494  | son           | köbegüntur              | Mong. köbegün (son) + -tur
495  | lake          | nuurtur                 | Mong. nuur (lake) + -tur
496  | moment        | öcöqan                  | Mong. öcö (moment) + -qan
497  | scale         | šaqālumqan              | Akk. šaqālum (scale/weigh) + Mong. -qan
498  | loud          | oloonqan                | Mong. oloone (loud) + -qan
499  | spring        | havarajqan              | Mong. havaraj (spring) + -qan
500  | observe       | ajiglaγaqanu            | Mong. ajiglaγa (to observe) + -qanu

===================================================================================
PHONETIC GUIDE FOR NAUKIN
===================================================================================

Middle Mongolian sounds (Secret History era):
  γ   = voiced uvular fricative (deeper than g — characteristic of Mongolian)
  q   = voiceless uvular stop (deeper than k — very common)
  ü   = front rounded vowel (as in French "tu")
  ö   = front rounded vowel (as in French "feu")
  Vowel harmony: back vowels (a/o/u) vs front vowels (e/ö/ü) — words
  generally use one set only; Naukin relaxes this for fantasy usability
  Agglutinative structure: suffixes stack onto roots

Akkadian sounds adding texture:
  š   = voiceless palatal fricative (as in "shoe")
  ṭ   = emphatic t (retroflex, stronger than plain t)
  ṣ   = emphatic s (stronger dental)
  Triconsonantal roots (like Sumerian) simplified to CV/CVC for blending

Key attested Mongolian words used directly:
  qaγan (great khan/ruler), tenggeri (sky/heaven), dayin (war),
  dalai (ocean), mingγan (thousand), tabun (five), jirγa (six),
  doloon (seven), naiman (eight), arban (ten), naadam (festival/game),
  ceceg (flower), casun (snow), bayar (joy), sara (moon/month),
  γal (fire), usun (water), γajar (earth/place), odun (star)

Naukin suffix system:
  -qan  = primary adjective/quality ending (fr. Mong. qaγan repurposed)
  -un   = primary noun ending (fr. Mong. genitive -un repurposed)
  -tur  = place/locative noun (fr. Mong. dative -tur)
  -qanu = verb ending (active/ongoing action)
  -qunu = verb ending (completed/known action)
  -bul  = collective/stative noun (fr. Mong. bol)
  -yin  = possessive (fr. Mong. genitive -yin — attested)
  -qantur = compound: quality + place (elevated/specific things)
  -bultur = compound: collective + locative (broad/distributed things)

===================================================================================
END OF FILE — NaukinMongolianAkkadian_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
