MURRAK TASMANIAN-ETRUSCAN - 500 Common Word Translations
Fantasy Language based on MurrakTasmanian name patterns
Linguistic roots: Equal blend of Tasmanian Aboriginal (phonetics/sound palette)
and Etruscan (vocabulary structure/grammar)
Stylization: Fully built-out fantasy language.

KEY SOURCE WORDS (Tasmanian Aboriginal — Palawa kani/various fragments):
  nina (fire), timme (water/rain), wana (go/walk), lanna (day),
  tana (they/those), para (place/country), rawa (good), mana (I/me),
  nara (person), lara (woman), kara (stone/rock), pakana (people of this land),
  lutruwita (Tasmania), nila (sky/wind/cold)

KEY SOURCE WORDS (Etruscan — partially deciphered):
  mi (I/me), mini (me/to me), an (he/she/it), ita (this/these),
  θui (here), θan (there/that), ipa (this), ais (god/divine),
  clan (son), sec (daughter), ati (mother), lautni (family member),
  zilc (magistrate/ruler), θur (to stand/be), tur (give), man (remain/stay),
  ril (year/age), avil (year), sval (alive/live), śuc (die/death),
  fler (offering/sacrifice), trin (plead/pray/think), menθ (face/front),
  θesan (dawn), rasna (Etruscan people), tular (boundaries/limits),
  lur (vessel/urn), śpural (of the city), luθ (pipe/music/play),
  acl (portray/see), kap (take/seize), eθ (go/come), uzi (end/rise),
  Numerals: θu(1), zal(2), ci(3), śa(4), maχ(5), huθ(6), semφ(7), cezp(8), nurφ(9), śar(10)

SUFFIX SYSTEM:
  -lara  = primary noun (Tasm. lara=woman + Etr. -ra genitive)
  -turia = verb ending (Etr. tur=give + Tasm. -ia)
  -walθ  = adjective (Tasm. wal- + Etr. -θ past marker)
  -θuna  = place/realm noun (Etr. θun + Tasm. -na)
  -θlara = intensive noun (weighty/significant things)

===================================================================================
RANK | ENGLISH       | MURRAK                  | ROOT / NOTES
398  | leg           | suθlara                 | Etr. suθ (leg/support) + -lara
399  | exercise      | θurturia                | Etr. θur (exercise/stand-work) + -turia
400  | wall          | tularlara               | Etr. tular (wall/boundary) + -lara
401  | catch         | kapturia                | Etr. kap (catch/take) + -turia
402  | mount         | uzituria                | Etr. uzi (mount/rise) + -turia
403  | wish          | flerturia               | Etr. fler (wish/offering) + -turia
404  | sky           | nilθuna                 | Tasm. nila (sky) + -θuna
405  | board         | θurθuna                 | Etr. θur (board/flat-stand) + -θuna
406  | joy           | svalθlara               | Etr. sval (joy/alive) + θ + -lara
407  | winter        | nilalara                | Tasm. nila (winter/cold-sky) + -lara
408  | sat           | suθθlara                | Etr. suθ (sat/rested) + θ + -lara
409  | written       | θruθlara                | Etr. θru (written) + θ + -lara
410  | wild          | vanaturia               | Tasm. wana (wild/free-going) + -turia
411  | instrument    | luθlara                 | Etr. luθ (instrument/pipe) + -lara
412  | kept          | manθlara                | Etr. man (kept/remained) + θ + -lara
413  | glass         | θesanlara               | Etr. θesan (glass/clear-dawn) + -lara
414  | grass         | paralara                | Tasm. para (grass/ground) + -lara
415  | cow           | θurlara                 | Etr. θur (cow/great-beast) + -lara
416  | job           | θurθlara                | Etr. θur (job/work) + θ + -lara
417  | edge          | uzilara                 | Etr. uzi (edge/end) + -lara
418  | sign          | tullara                 | Etr. tul (sign/mark) + -lara
419  | visit         | eθturia                 | Etr. eθ (visit/come) + -turia
420  | past          | uzθlara                 | Etr. uzθ (past/ended) + -lara
421  | soft          | manθlara                | Etr. man (soft/gentle-remain) + θ + -lara
422  | fun           | luθlara                 | Etr. luθ (fun/play) + -lara
423  | bright        | θesanwalθ               | Etr. θesan (bright/dawn) + -walθ
424  | gas           | nilalara                | Tasm. nila (gas/air-sky) + -lara
425  | weather       | nilθuna                 | Tasm. nila (weather/sky) + -θuna
426  | month         | rilalara                | Etr. ril (month/year-count) + -alara
427  | million       | sarmaχlara              | Etr. śar+maχ (million/ten-great) + -lara
428  | bear          | θurlara                 | Etr. θur (bear/great-beast) + -lara
429  | finish        | uzθturia                | Etr. uzθ (finish/end) + -turia
430  | happy         | svalθlara               | Etr. sval (happy/alive) + θ + -lara
431  | hope          | θesanlara               | Etr. θesan (hope/dawn-promise) + -lara
432  | flower        | θesanθuna               | Etr. θesan (flower/dawn-beauty) + -θuna
433  | clothe        | θurturia                | Etr. θur (clothe/cover) + -turia
434  | strange       | naθlara                 | na + θ (strange/not-known) + -lara
435  | gone          | uzθlara                 | Etr. uzθ (gone/ended) + -lara
436  | jump          | uzituria                | Etr. uzi (jump/rise) + -turia
437  | baby          | clanitlara              | Etr. clan (baby/child) + -itlara
438  | eight         | cezplara                | Etr. cezp (eight) + -lara
439  | village       | spuralθuna              | Etr. śpural (village/city) + -θuna
440  | meet          | hamturia                | Etr. ham (meet/with) + -turia
441  | root          | suθlara                 | Etr. suθ (root/base) + -lara
442  | buy           | kapturia                | Etr. kap (buy/take) + -turia
443  | raise         | uzituria                | Etr. uzi (raise/rise) + -turia
444  | solve         | trinturia               | Etr. trin (solve/think) + -turia
445  | metal         | aislara                 | Etr. ais (metal/divine-hard) + -lara
447  | push          | θurturia                | Etr. θur (push/force) + -turia
448  | seven         | semflara                | Etr. semφ (seven) + -lara
449  | paragraph     | θruθlara                | Etr. θru (paragraph/text) + θ + -lara
450  | third         | cilara                  | Etr. ci (three/third) + -lara
452  | held          | manθlara                | Etr. man (held/remained) + θ + -lara
453  | hair          | nilalara                | Tasm. nila (hair/fine-sky) + -lara
454  | describe      | aclturia                | Etr. acl (describe/portray) + -turia
455  | cook          | ninaturia               | Tasm. nina (cook/fire-make) + -turia
456  | floor         | paraθuna                | Tasm. para (floor/ground-place) + -θuna
458  | result        | uzθlara                 | Etr. uzθ (result/end) + -lara
459  | burn          | ninaturia               | Tasm. nina (burn/fire) + -turia
460  | hill          | uzilara                 | Etr. uzi (hill/rise) + -lara
461  | safe          | svalθlara               | Etr. sval (safe/alive) + θ + -lara
462  | cat           | kanalara                | Tasm. kana (cat/creature) + -lara
463  | century       | rilθuna                 | Etr. ril (century/great-year) + -θuna
464  | consider      | trinturia               | Etr. trin (consider/think) + -turia
465  | type          | rasnaθlara              | Etr. rasna (type/people-kind) + θ + -lara
466  | law           | zilcwalθ                | Etr. zilc (law/rule) + -walθ
467  | bit           | θulara                  | Etr. θu (bit/one) + -lara
468  | coast         | timmeparalara           | Tasm. timme+para (coast/water-place)
469  | copy          | aclturia                | Etr. acl (copy/portray) + -turia
470  | phrase        | kaplara                 | Etr. kap (phrase/voice-thing) + -lara
471  | silent        | naθlara                 | na + θ (silent/not-sound) + -lara
472  | tall          | θuralara                | Etr. θur (tall/standing) + -lara
473  | sand          | paralara                | Tasm. para (sand/ground) + -lara
474  | soil          | paralara                | same as ground/sand
475  | roll          | θezituria               | Etr. θezi (roll/turn) + -turia
476  | temperature   | ninaθuna                | Tasm. nina (temperature/fire) + -θuna
477  | finger        | suplara                 | Etr. sup (finger/hand-part) + -lara
478  | industry      | θurθuna                 | Etr. θur (industry/work-place) + -θuna
479  | value         | aislara                 | Etr. ais (value/divine) + -lara
480  | fight         | sucturia                | Etr. śuc (fight/death-force) + -turia
481  | lie           | suθturia                | Etr. suθ (lie/rest) + -turia
482  | beat          | θurturia                | Etr. θur (beat/force) + -turia
483  | excite        | svalθturia              | Etr. sval (excite/enliven) + θ + -turia
484  | natural       | parawalθ                | Tasm. para (natural/of-the-place) + -walθ
485  | view          | aclwalθ                 | Etr. acl (view/portray) + -walθ
486  | sense         | tezilara                | Etr. tezi (sense/feel) + -lara
487  | ear           | θesθlara                | Etr. θes (ear/hear) + θ + -lara
491  | case          | menθlara                | Etr. menθ (case/matter-face) + -lara
492  | middle        | menaθuna                | Etr. men (middle) + -aθuna
493  | kill          | sucturia                | Etr. śuc (kill/death) + -turia
494  | son           | clanlara                | Etr. clan (son) + -lara
495  | lake          | timmeθuna               | Tasm. timme (lake/still-water) + -θuna
496  | moment        | rilθlara                | Etr. ril (moment/year-point) + θ + -lara
497  | scale         | tularlara               | Etr. tular (scale/measure) + -lara
498  | loud          | kapθlara                | Etr. kap (loud/great-voice) + θ + -lara
499  | spring        | θesanθuna               | Etr. θesan (spring/dawn) + -θuna
500  | observe       | aclturia                | Etr. acl (observe/portray) + -turia

===================================================================================
PHONETIC GUIDE FOR MURRAK
===================================================================================

Etruscan sounds used in Murrak:
  θ   = voiceless dental fricative (as in "thin") — very characteristic
  ś   = palatalized s (between s and sh — rendered as plain s in fantasy use)
  χ   = voiceless velar fricative (as in Scots "loch" — rendered as χ or ch)
  φ   = labiodental fricative (as in "f" — rendered as f in fantasy use)
  All Etruscan vowels: a, e, i, u — no o in classical Etruscan

Key attested Etruscan words used:
  mi (I), mini (me), an (he/she/it), ita (this), θui (here), θan (that),
  clan (son), sec (daughter), ati (mother), lautni (family), zilc (ruler),
  sval (alive), ril (year), avil (year), θesan (dawn), rasna (Etruscans),
  tular (boundaries), lur (vessel), śpural (city), fler (offering), trin (plead),
  θur (stand), tur (give), man (remain), kap (take), eθ (go), uzi (end),
  acl (portray), luθ (pipe), menθ (face), suθ (tomb/rest), śuc (death),
  θu/zal/ci/śa/maχ/huθ/semφ/cezp/nurφ/śar (Etruscan numerals 1-10)

Tasmanian phonetic elements woven through:
  nina (fire) → fire/heat/warm/cook/burn/summer words
  timme (water) → water/rain/river/ocean/lake/drop words
  wana (go/walk) → movement/travel/road/street/wild words
  para (place) → place/ground/field/plain/area/floor words
  nila (sky/wind/cold) → sky/cold/blue/wind/moon/forest words
  rawa (good) → positive qualities/love/ease/fine words
  nara (person) → person/people words
  kara/kana (stone/creature) → rock/animal words
  lanna (day) → day/time words
  tana (they) → pronoun forms
  pakana (people of this land) → collective nouns

Murrak suffix system:
  -lara   = primary noun (Tasm. lara=woman + Etr. -ra genitive)
  -turia  = verb ending (Etr. tur=give + Tasm. -ia)
  -walθ   = adjective/quality ending (Tasm. wal- + Etr. -θ past marker)
  -θuna   = place/realm noun (Etr. θun + Tasm. -na)
  -pakana = collective/people noun (Tasm. pakana — the people's word)
  -θlara  = intensive noun (θ + -lara = weighty/significant things)
  -alara  = temporal noun (time-inflected form)
  -nlara  = liquid/flowing noun (water-adjacent words)
  -zelj   = desire/living noun (borrowed from Veildrift for love/living)
  -itlara = kinship noun (clan-kin words)

NOTE ON ETRUSCAN:
Etruscan is genuinely deciphered enough to work with — we know its
grammar, numerals, and several hundred words from inscriptions.
It is NOT related to any other known language. Its vocabulary structure
(short CVC roots, agglutinative suffixes, no gender distinction)
pairs beautifully with Tasmanian's open-syllable phonetics.
Murrak inherits this mystery — a language that sounds ancient because
both its sources genuinely are.

===================================================================================
END OF FILE — MurrakTasmanian_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
